x,z,ue
4.568129463478e-02,3.419644502043e-02,0.000000000000e+00
4.351262474883e-02,3.348428895384e-02,2.136325979511e-02
4.139434924727e-02,3.276467960350e-02,5.136047809010e-02
3.932670197928e-02,3.203773336804e-02,8.270803664487e-02
3.730991120486e-02,3.130356624853e-02,1.154892497572e-01
3.534419956966e-02,3.056229372292e-02,1.497934340702e-01
3.342978408040e-02,2.981403062133e-02,1.857162948392e-01
3.156687608091e-02,2.905889100232e-02,2.233603088756e-01
2.975568122880e-02,2.829698803030e-02,2.628350928316e-01
2.799639947275e-02,2.752843385419e-02,3.042577413682e-01
2.628922503045e-02,2.675333948765e-02,3.477531144578e-01
2.463434636715e-02,2.597181469081e-02,3.934540462980e-01
2.303194617483e-02,2.518396785385e-02,4.415014397387e-01
2.148220135210e-02,2.438990588250e-02,4.920441993307e-01
1.998528298458e-02,2.358973408560e-02,5.452389426880e-01
1.854135632610e-02,2.278355606493e-02,6.012494133551e-01
1.715058078040e-02,2.197147360739e-02,6.602454984008e-01
1.581310988354e-02,2.115358657971e-02,7.224017302581e-01
1.452909128697e-02,2.032999282587e-02,7.878951249251e-01
1.329866674123e-02,1.950078806728e-02,8.569021781047e-01
1.212197208028e-02,1.866606580589e-02,9.295948086422e-01
1.099913720649e-02,1.782591723042e-02,1.006135007605e+00
9.930286076379e-03,1.698043112578e-02,1.086667926481e+00
8.915536686829e-03,1.612969378573e-02,1.171313127217e+00
7.955001062126e-03,1.527378892910e-02,1.260153732000e+00
7.048785241570e-03,1.441279761948e-02,1.353223268547e+00
6.196989267772e-03,1.354679818858e-02,1.450490128896e+00
5.399707175606e-03,1.267586616336e-02,1.551839772539e+00
4.657026981835e-03,1.180007419704e-02,1.657055135182e+00
3.969030675387e-03,1.091949200407e-02,1.765796173828e+00
3.335794208309e-03,1.003418629907e-02,1.877580090984e+00
2.757387487379e-03,9.144220740013e-03,1.991764504902e+00
2.233874366392e-03,8.249655875506e-03,2.107536585115e+00
1.765312639106e-03,7.350549096420e-03,2.223911802928e+00
1.351754032867e-03,6.446954591824e-03,2.339746245397e+00
9.932442028933e-04,5.538923309325e-03,2.453766189748e+00
6.898227272398e-04,4.626502919874e-03,2.564617726800e+00
4.415231024266e-04,3.709737787061e-03,2.670937914723e+00
2.483727397412e-04,2.788668940959e-03,2.771448470018e+00
1.103929622128e-04,1.863334056543e-03,2.865077993594e+00
2.759900225813e-05,9.337674367241e-04,2.951156695687e+00
