x,z,ue
2.233874366392e-03,8.249655875506e-03,0.000000000000e+00
2.757387487379e-03,9.144220740013e-03,4.846245671489e-02
3.335794208309e-03,1.003418629907e-02,1.113194257295e-01
3.969030675387e-03,1.091949200407e-02,1.706446724605e-01
4.657026981835e-03,1.180007419704e-02,2.264231589788e-01
5.399707175606e-03,1.267586616336e-02,2.787048211757e-01
6.196989267772e-03,1.354679818858e-02,3.275895288154e-01
7.048785241570e-03,1.441279761948e-02,3.732134171641e-01
7.955001062126e-03,1.527378892910e-02,4.157371072328e-01
8.915536686829e-03,1.612969378573e-02,4.553359886262e-01
9.930286076379e-03,1.698043112578e-02,4.921925084676e-01
1.099913720649e-02,1.782591723042e-02,5.264902742203e-01
1.212197208028e-02,1.866606580589e-02,5.584097137893e-01
1.329866674123e-02,1.950078806728e-02,5.881250201907e-01
1.452909128697e-02,2.032999282587e-02,6.158021214661e-01
1.581310988354e-02,2.115358657971e-02,6.415974454916e-01
1.715058078040e-02,2.197147360739e-02,6.656572844704e-01
1.854135632610e-02,2.278355606493e-02,6.881175994017e-01
1.998528298458e-02,2.358973408560e-02,7.091041374812e-01
2.148220135210e-02,2.438990588250e-02,7.287327637346e-01
2.303194617483e-02,2.518396785385e-02,7.471099318059e-01
2.463434636715e-02,2.597181469081e-02,7.643332379427e-01
2.628922503045e-02,2.675333948765e-02,7.804920173198e-01
2.799639947275e-02,2.752843385419e-02,7.956679535499e-01
2.975568122880e-02,2.829698803030e-02,8.099356811531e-01
3.156687608091e-02,2.905889100232e-02,8.233633674484e-01
3.342978408040e-02,2.981403062133e-02,8.360132652816e-01
3.534419956966e-02,3.056229372292e-02,8.479422316006e-01
3.730991120486e-02,3.130356624853e-02,8.592022094635e-01
3.932670197928e-02,3.203773336804e-02,8.698406728639e-01
4.139434924727e-02,3.276467960350e-02,8.799010349846e-01
4.351262474883e-02,3.348428895384e-02,8.894230212917e-01
4.568129463478e-02,3.419644502043e-02,8.984430093790e-01
4.790011949264e-02,3.490103113320e-02,9.069943377493e-01
5.016885437299e-02,3.559793047735e-02,9.151075858403e-01
5.248724881656e-02,3.628702622032e-02,9.228108276182e-01
5.485504688184e-02,3.696820163889e-02,9.301298610086e-01
5.727198717339e-02,3.764134024636e-02,9.370884153286e-01
5.973780287065e-02,3.830632591948e-02,9.437083387607e-01
6.225222175740e-02,3.896304302504e-02,9.500097677603e-01
6.481496625182e-02,3.961137654607e-02,9.560112801447e-01
6.742575343717e-02,4.025121220721e-02,9.617300334613e-01
7.008429509294e-02,4.088243659947e-02,9.671818900897e-01
7.279029772676e-02,4.150493730383e-02,9.723815303996e-01
7.554346260672e-02,4.211860301382e-02,9.773425551555e-01
7.834348579443e-02,4.272332365683e-02,9.820775782461e-01
8.119005817848e-02,4.331899051391e-02,9.865983107059e-01
8.408286550865e-02,4.390549633808e-02,9.909156369001e-01
8.702158843056e-02,4.448273547089e-02,9.950396836538e-01
9.000590252093e-02,4.505060395707e-02,9.989798830270e-01
9.303547832338e-02,4.560899965728e-02,1.002745029364e+00
9.610998138484e-02,4.615782235861e-02,1.006343331182e+00
9.922907229245e-02,4.669697388296e-02,1.009782458400e+00
1.023924067110e-01,4.722635819286e-02,1.013069585369e+00
1.055996354210e-01,4.774588149492e-02,1.016211430098e+00
1.088504043573e-01,4.825545234056e-02,1.019214290055e+00
1.121443546478e-01,4.875498172406e-02,1.022084074854e+00
1.154811226536e-01,4.924438317767e-02,1.024826336133e+00
1.188603400090e-01,4.972357286384e-02,1.027446294882e+00
1.222816336616e-01,5.019246966435e-02,1.029948866458e+00
1.257446259144e-01,5.065099526627e-02,1.032338683502e+00
1.292489344669e-01,5.109907424472e-02,1.034620116948e+00
1.327941724574e-01,5.153663414221e-02,1.036797295292e+00
1.363799485058e-01,5.196360554472e-02,1.038874122293e+00
1.400058667566e-01,5.237992215411e-02,1.040854293226e+00
1.436715269230e-01,5.278552085710e-02,1.042741309824e+00
1.473765243307e-01,5.318034179059e-02,1.044538494028e+00
1.511204499629e-01,5.356432840331e-02,1.046249000638e+00
1.549028905050e-01,5.393742751374e-02,1.047875828967e+00
1.587234283907e-01,5.429958936423e-02,1.049421833581e+00
1.625816418479e-01,5.465076767134e-02,1.050889734197e+00
1.664771049452e-01,5.499091967232e-02,1.052282124820e+00
1.704093876390e-01,5.532000616767e-02,1.053601482168e+00
1.743780558211e-01,5.563799155985e-02,1.054850173457e+00
1.783826713663e-01,5.594484388805e-02,1.056030463590e+00
1.824227921809e-01,5.624053485898e-02,1.057144521799e+00
1.864979722519e-01,5.652503987381e-02,1.058194427787e+00
1.906077616956e-01,5.679833805107e-02,1.059182177406e+00
1.947517068076e-01,5.706041224569e-02,1.060109687905e+00
1.989293501129e-01,5.731124906406e-02,1.060978802800e+00
2.031402304164e-01,5.755083887526e-02,1.061791296360e+00
2.073838828537e-01,5.777917581831e-02,1.062548877778e+00
2.116598389426e-01,5.799625780560e-02,1.063253195023e+00
2.159676266344e-01,5.820208652254e-02,1.063905838407e+00
