x,z,ue
4.139434924727e-02,-3.276467960350e-02,0.000000000000e+00
3.932670197928e-02,-3.203773336804e-02,3.489854028656e-02
3.730991120486e-02,-3.130356624853e-02,6.659076846799e-02
3.534419956966e-02,-3.056229372292e-02,9.976177069671e-02
3.342978408040e-02,-2.981403062133e-02,1.345048978327e-01
3.156687608091e-02,-2.905889100232e-02,1.709201614949e-01
2.975568122880e-02,-2.829698803030e-02,2.091146064584e-01
2.799639947275e-02,-2.752843385419e-02,2.492026562976e-01
2.628922503045e-02,-2.675333948765e-02,2.913064125184e-01
2.463434636715e-02,-2.597181469081e-02,3.355558809028e-01
2.303194617483e-02,-2.518396785385e-02,3.820890905005e-01
2.148220135210e-02,-2.438990588250e-02,4.310520602708e-01
1.998528298458e-02,-2.358973408560e-02,4.825985553711e-01
1.854135632610e-02,-2.278355606493e-02,5.368895590715e-01
1.715058078040e-02,-2.197147360739e-02,5.940923668461e-01
1.581310988354e-02,-2.115358657971e-02,6.543791860742e-01
1.452909128697e-02,-2.032999282587e-02,7.179250979781e-01
1.329866674123e-02,-1.950078806728e-02,7.849052084395e-01
1.212197208028e-02,-1.866606580589e-02,8.554907825283e-01
1.099913720649e-02,-1.782591723042e-02,9.298441266685e-01
9.930286076379e-03,-1.698043112578e-02,1.008111957097e+00
8.915536686829e-03,-1.612969378573e-02,1.090416981254e+00
7.955001062126e-03,-1.527378892910e-02,1.176847431424e+00
7.048785241570e-03,-1.441279761948e-02,1.267444343456e+00
6.196989267772e-03,-1.354679818858e-02,1.362186488939e+00
5.399707175606e-03,-1.267586616336e-02,1.460973072278e+00
4.657026981835e-03,-1.180007419704e-02,1.563604621451e+00
3.969030675387e-03,-1.091949200407e-02,1.669762954222e+00
3.335794208309e-03,-1.003418629907e-02,1.778991694925e+00
2.757387487379e-03,-9.144220740013e-03,1.890679522437e+00
2.233874366392e-03,-8.249655875506e-03,2.004049067985e+00
1.765312639106e-03,-7.350549096420e-03,2.118155007630e+00
1.351754032867e-03,-6.446954591824e-03,2.231895205853e+00
9.932442028933e-04,-5.538923309325e-03,2.344038549363e+00
6.898227272398e-04,-4.626502919874e-03,2.453272255917e+00
4.415231024266e-04,-3.709737787061e-03,2.558270192470e+00
2.483727397412e-04,-2.788668940959e-03,2.657783267652e+00
1.103929622128e-04,-1.863334056543e-03,2.750757720865e+00
2.759900225813e-05,-9.337674367241e-04,2.836523375286e+00
0.000000000000e+00,0.000000000000e+00,2.915004147245e+00
2.759900225813e-05,9.337674367241e-04,2.986055971920e+00
1.103929622128e-04,1.863334056543e-03,3.048467280709e+00
2.483727397412e-04,2.788668940959e-03,3.100834835589e+00
4.415231024266e-04,3.709737787061e-03,3.142533740947e+00
6.898227272398e-04,4.626502919874e-03,3.173465124923e+00
9.932442028933e-04,5.538923309325e-03,3.193912978105e+00
1.351754032867e-03,6.446954591824e-03,3.204460477609e+00
1.765312639106e-03,7.350549096420e-03,3.205912000093e+00
2.233874366392e-03,8.249655875506e-03,3.199217587005e+00
2.757387487379e-03,9.144220740013e-03,3.185403639971e+00
3.335794208309e-03,1.003418629907e-02,3.165513798784e+00
3.969030675387e-03,1.091949200407e-02,3.140562339389e+00
4.657026981835e-03,1.180007419704e-02,3.111500582225e+00
5.399707175606e-03,1.267586616336e-02,3.079195337269e+00
6.196989267772e-03,1.354679818858e-02,3.044417517188e+00
7.048785241570e-03,1.441279761948e-02,3.007838684761e+00
7.955001062126e-03,1.527378892910e-02,2.970033327713e+00
8.915536686829e-03,1.612969378573e-02,2.931484918043e+00
9.930286076379e-03,1.698043112578e-02,2.892594183360e+00
1.099913720649e-02,1.782591723042e-02,2.853688403870e+00
1.212197208028e-02,1.866606580589e-02,2.815030897484e+00
1.329866674123e-02,1.950078806728e-02,2.776830143085e+00
1.452909128697e-02,2.032999282587e-02,2.739248213399e+00
1.581310988354e-02,2.115358657971e-02,2.702408349706e+00
1.715058078040e-02,2.197147360739e-02,2.666401621153e+00
1.854135632610e-02,2.278355606493e-02,2.631292682904e+00
1.998528298458e-02,2.358973408560e-02,2.597124690027e+00
2.148220135210e-02,2.438990588250e-02,2.563923446622e+00
