x,z,ue
1.765312639106e-03,-7.350549096420e-03,0.000000000000e+00
1.351754032867e-03,-6.446954591824e-03,5.018302691896e-02
9.932442028933e-04,-5.538923309325e-03,1.231954590424e-01
6.898227272398e-04,-4.626502919874e-03,1.984938996130e-01
4.415231024266e-04,-3.709737787061e-03,2.755058204952e-01
2.483727397412e-04,-2.788668940959e-03,3.535829435328e-01
1.103929622128e-04,-1.863334056543e-03,4.320393016102e-01
2.759900225813e-05,-9.337674367241e-04,5.102077051262e-01
0.000000000000e+00,0.000000000000e+00,5.874649873780e-01
2.759900225813e-05,9.337674367241e-04,6.632251031757e-01
1.103929622128e-04,1.863334056543e-03,7.366868717545e-01
2.483727397412e-04,2.788668940959e-03,8.069596630815e-01
4.415231024266e-04,3.709737787061e-03,8.733854131431e-01
6.898227272398e-04,4.626502919874e-03,9.354705949275e-01
9.932442028933e-04,5.538923309325e-03,9.928758944954e-01
1.351754032867e-03,6.446954591824e-03,1.045413569740e+00
1.765312639106e-03,7.350549096420e-03,1.093036830811e+00
2.233874366392e-03,8.249655875506e-03,1.135821652277e+00
2.757387487379e-03,9.144220740013e-03,1.173943768299e+00
3.335794208309e-03,1.003418629907e-02,1.207653901773e+00
3.969030675387e-03,1.091949200407e-02,1.237253803174e+00
4.657026981835e-03,1.180007419704e-02,1.263074894640e+00
5.399707175606e-03,1.267586616336e-02,1.285460507591e+00
6.196989267772e-03,1.354679818858e-02,1.304752026034e+00
7.048785241570e-03,1.441279761948e-02,1.321278766745e+00
7.955001062126e-03,1.527378892910e-02,1.335351140810e+00
8.915536686829e-03,1.612969378573e-02,1.347256512729e+00
9.930286076379e-03,1.698043112578e-02,1.357257156398e+00
1.099913720649e-02,1.782591723042e-02,1.365589757580e+00
1.212197208028e-02,1.866606580589e-02,1.372465995754e+00
1.329866674123e-02,1.950078806728e-02,1.378073830884e+00
1.452909128697e-02,2.032999282587e-02,1.382579208761e+00
1.581310988354e-02,2.115358657971e-02,1.386127975091e+00
1.715058078040e-02,2.197147360739e-02,1.388847850920e+00
1.854135632610e-02,2.278355606493e-02,1.390850370763e+00
1.998528298458e-02,2.358973408560e-02,1.392232721266e+00
2.148220135210e-02,2.438990588250e-02,1.393079444793e+00
2.303194617483e-02,2.518396785385e-02,1.393463990865e+00
2.463434636715e-02,2.597181469081e-02,1.393450110972e+00
2.628922503045e-02,2.675333948765e-02,1.393093100355e+00
2.799639947275e-02,2.752843385419e-02,1.392440895346e+00
2.975568122880e-02,2.829698803030e-02,1.391535037493e+00
3.156687608091e-02,2.905889100232e-02,1.390411516956e+00
3.342978408040e-02,2.981403062133e-02,1.389101507823e+00
3.534419956966e-02,3.056229372292e-02,1.387632007601e+00
3.730991120486e-02,3.130356624853e-02,1.386026392356e+00
3.932670197928e-02,3.203773336804e-02,1.384304898009e+00
4.139434924727e-02,3.276467960350e-02,1.382485037255e+00
4.351262474883e-02,3.348428895384e-02,1.380581960542e+00
4.568129463478e-02,3.419644502043e-02,1.378608768545e+00
4.790011949264e-02,3.490103113320e-02,1.376576782678e+00
5.016885437299e-02,3.559793047735e-02,1.374495779307e+00
5.248724881656e-02,3.628702622032e-02,1.372374192641e+00
5.485504688184e-02,3.696820163889e-02,1.370219290549e+00
5.727198717339e-02,3.764134024636e-02,1.368037327029e+00
5.973780287065e-02,3.830632591948e-02,1.365833674503e+00
6.225222175740e-02,3.896304302504e-02,1.363612938704e+00
6.481496625182e-02,3.961137654607e-02,1.361379058508e+00
6.742575343717e-02,4.025121220721e-02,1.359135392765e+00
7.008429509294e-02,4.088243659947e-02,1.356884795876e+00
7.279029772676e-02,4.150493730383e-02,1.354629683629e+00
7.554346260672e-02,4.211860301382e-02,1.352372090590e+00
7.834348579443e-02,4.272332365683e-02,1.350113720190e+00
8.119005817848e-02,4.331899051391e-02,1.347855988436e+00
8.408286550865e-02,4.390549633808e-02,1.345600062126e+00
8.702158843056e-02,4.448273547089e-02,1.343346892245e+00
9.000590252093e-02,4.505060395707e-02,1.341097243195e+00
9.303547832338e-02,4.560899965728e-02,1.338851718369e+00
9.610998138484e-02,4.615782235861e-02,1.336610782565e+00
9.922907229245e-02,4.669697388296e-02,1.334374781609e+00
1.023924067110e-01,4.722635819286e-02,1.332143959563e+00
1.055996354210e-01,4.774588149492e-02,1.329918473806e+00
1.088504043573e-01,4.825545234056e-02,1.327698408259e+00
1.121443546478e-01,4.875498172406e-02,1.325483784978e+00
1.154811226536e-01,4.924438317767e-02,1.323274574314e+00
1.188603400090e-01,4.972357286384e-02,1.321070703826e+00
1.222816336616e-01,5.019246966435e-02,1.318872066077e+00
1.257446259144e-01,5.065099526627e-02,1.316678525463e+00
1.292489344669e-01,5.109907424472e-02,1.314489924189e+00
1.327941724574e-01,5.153663414221e-02,1.312306087483e+00
1.363799485058e-01,5.196360554472e-02,1.310126828146e+00
1.400058667566e-01,5.237992215411e-02,1.307951950517e+00
1.436715269230e-01,5.278552085710e-02,1.305781253911e+00
1.473765243307e-01,5.318034179059e-02,1.303614535604e+00
1.511204499629e-01,5.356432840331e-02,1.301451593406e+00
1.549028905050e-01,5.393742751374e-02,1.299292227875e+00
1.587234283907e-01,5.429958936423e-02,1.297136244214e+00
1.625816418479e-01,5.465076767134e-02,1.294983453882e+00
1.664771049452e-01,5.499091967232e-02,1.292833675954e+00
1.704093876390e-01,5.532000616767e-02,1.290686738261e+00
1.743780558211e-01,5.563799155985e-02,1.288542478329e+00
1.783826713663e-01,5.594484388805e-02,1.286400744147e+00
1.824227921809e-01,5.624053485898e-02,1.284261394773e+00
1.864979722519e-01,5.652503987381e-02,1.282124300812e+00
1.906077616956e-01,5.679833805107e-02,1.279989344756e+00
1.947517068076e-01,5.706041224569e-02,1.277856421236e+00
1.989293501129e-01,5.731124906406e-02,1.275725437158e+00
2.031402304164e-01,5.755083887526e-02,1.273596311766e+00
