x,z,ue
2.483727397412e-04,-2.788668940959e-03,0.000000000000e+00
1.103929622128e-04,-1.863334056543e-03,8.136187014649e-02
2.759900225813e-05,-9.337674367241e-04,1.581792040369e-01
0.000000000000e+00,0.000000000000e+00,2.350486411357e-01
2.759900225813e-05,9.337674367241e-04,3.113190519978e-01
1.103929622128e-04,1.863334056543e-03,3.862532300064e-01
2.483727397412e-04,2.788668940959e-03,4.590401641702e-01
4.415231024266e-04,3.709737787061e-03,5.290185230285e-01
6.898227272398e-04,4.626502919874e-03,5.956365858625e-01
9.932442028933e-04,5.538923309325e-03,6.584619707889e-01
1.351754032867e-03,6.446954591824e-03,7.171912162106e-01
1.765312639106e-03,7.350549096420e-03,7.716493446401e-01
2.233874366392e-03,8.249655875506e-03,8.217803676232e-01
2.757387487379e-03,9.144220740013e-03,8.676313210353e-01
3.335794208309e-03,1.003418629907e-02,9.093327377823e-01
3.969030675387e-03,1.091949200407e-02,9.470781627674e-01
4.657026981835e-03,1.180007419704e-02,9.811046977096e-01
5.399707175606e-03,1.267586616336e-02,1.011675857243e+00
6.196989267772e-03,1.354679818858e-02,1.039067376383e+00
7.048785241570e-03,1.441279761948e-02,1.063556112291e+00
7.955001062126e-03,1.527378892910e-02,1.085411850012e+00
8.915536686829e-03,1.612969378573e-02,1.104891634832e+00
9.930286076379e-03,1.698043112578e-02,1.122236178628e+00
1.099913720649e-02,1.782591723042e-02,1.137667887158e+00
1.212197208028e-02,1.866606580589e-02,1.151390098239e+00
1.329866674123e-02,1.950078806728e-02,1.163587183794e+00
1.452909128697e-02,2.032999282587e-02,1.174425236558e+00
1.581310988354e-02,2.115358657971e-02,1.184053125792e+00
1.715058078040e-02,2.197147360739e-02,1.192603761439e+00
1.854135632610e-02,2.278355606493e-02,1.200195451281e+00
1.998528298458e-02,2.358973408560e-02,1.206933271185e+00
2.148220135210e-02,2.438990588250e-02,1.212910395546e+00
2.303194617483e-02,2.518396785385e-02,1.218209355002e+00
2.463434636715e-02,2.597181469081e-02,1.222903202879e+00
2.628922503045e-02,2.675333948765e-02,1.227056581827e+00
2.799639947275e-02,2.752843385419e-02,1.230726688925e+00
2.975568122880e-02,2.829698803030e-02,1.233964141919e+00
3.156687608091e-02,2.905889100232e-02,1.236813751964e+00
3.342978408040e-02,2.981403062133e-02,1.239315209751e+00
3.534419956966e-02,3.056229372292e-02,1.241503692553e+00
3.730991120486e-02,3.130356624853e-02,1.243410399903e+00
3.932670197928e-02,3.203773336804e-02,1.245063025368e+00
4.139434924727e-02,3.276467960350e-02,1.246486171483e+00
4.351262474883e-02,3.348428895384e-02,1.247701714368e+00
4.568129463478e-02,3.419644502043e-02,1.248729123967e+00
4.790011949264e-02,3.490103113320e-02,1.249585745254e+00
5.016885437299e-02,3.559793047735e-02,1.250287045177e+00
5.248724881656e-02,3.628702622032e-02,1.250846829579e+00
5.485504688184e-02,3.696820163889e-02,1.251277433821e+00
5.727198717339e-02,3.764134024636e-02,1.251589890397e+00
5.973780287065e-02,3.830632591948e-02,1.251794076430e+00
6.225222175740e-02,3.896304302504e-02,1.251898843542e+00
6.481496625182e-02,3.961137654607e-02,1.251912132333e+00
6.742575343717e-02,4.025121220721e-02,1.251841073363e+00
7.008429509294e-02,4.088243659947e-02,1.251692076320e+00
7.279029772676e-02,4.150493730383e-02,1.251470908849e+00
7.554346260672e-02,4.211860301382e-02,1.251182766285e+00
