profil,vitesse_ms,angle_deg,L_kg,D_kg,L_N,D_N
NACA-0012,2.1,-5,0.145,0,1.4219643,0
NACA-0012,2.1,-4.5,0.147,-2e-05,1.4415776,-0.000196133
NACA-0012,2.1,-4,0.149,-4e-05,1.4611909,-0.000392266
NACA-0012,2.1,-3.5,0.151,-6e-05,1.4808042,-0.000588399
NACA-0012,2.1,-3,0.153,-8e-05,1.5004175,-0.000784532
NACA-0012,2.1,-2.5,0.155,-0.0001,1.5200308,-0.000980665
NACA-0012,2.1,-2,0.157,-0.00012,1.5396441,-0.001176798
NACA-0012,2.1,-1.5,0.159,-0.00014,1.5592574,-0.001372931
NACA-0012,2.1,-1,0.161,-0.00016,1.5788707,-0.001569064
NACA-0012,2.1,-0.5,0.163,-0.00018,1.5984839,-0.001765197
NACA-0012,2.1,0,0.165,-0.0002,1.6180972,-0.00196133
NACA-0012,2.1,0.5,0.167,-0.00022,1.6377105,-0.002157463
NACA-0012,2.1,1,0.169,-0.00024,1.6573239,-0.002353596
NACA-0012,2.1,1.5,0.171,-0.00026,1.6769372,-0.002549729
NACA-0012,2.1,2,0.173,-0.00028,1.6965505,-0.002745862
NACA-0012,2.1,2.5,0.175,-0.0003,1.7161637,-0.002941995
NACA-0012,2.1,3,0.177,-0.00032,1.7357771,-0.003138128
NACA-0012,2.1,3.5,0.179,-0.00034,1.7553904,-0.003334261
NACA-0012,2.1,4,0.181,-0.00036,1.7750036,-0.003530394
NACA-0012,2.1,4.5,0.183,-0.00038,1.7946169,-0.003726527
NACA-0012,2.1,5,0.185,-0.0004,1.8142302,-0.00392266
NACA-0012,2.1,5.5,0.187,-0.00042,1.8338435,-0.004118793
NACA-0012,2.1,6,0.189,-0.00044,1.8534568,-0.004314926
NACA-0012,2.1,6.5,0.191,-0.00046,1.8730701,-0.004511059
NACA-0012,2.1,7,0.193,-0.00048,1.8926835,-0.004707192
NACA-0012,2.1,7.5,0.195,-0.0005,1.9122967,-0.004903325
NACA-0012,2.1,8,0.188125,-0.0008125,1.844876,-0.0079679031
NACA-0012,2.1,8.5,0.18125,-0.001125,1.7774553,-0.011032481
NACA-0012,2.1,9,0.174375,-0.0014375,1.7100346,-0.014097059
NACA-0012,2.1,9.5,0.1675,-0.00175,1.6426139,-0.017161638
NACA-0012,2.1,10,0.160625,-0.0020625,1.5751932,-0.020226216
NACA-0012,2.1,10.5,0.15375,-0.002375,1.5077724,-0.023290794
NACA-0012,2.1,11,0.146875,-0.0026875,1.4403517,-0.026355372
NACA-0012,2.1,11.5,0.14,-0.003,1.372931,-0.02941995
NACA-0012,2.1,12,0.1625,-0.003,1.5935806,-0.02941995
NACA-0012,2.1,12.5,0.185,-0.003,1.8142302,-0.02941995
NACA-0012,2.1,13,0.1775,-0.003,1.7406804,-0.02941995
NACA-0012,2.1,13.5,0.17,-0.003,1.6671305,-0.02941995
NACA-0012,2.1,14,0.17011949,-0.0041650123,1.6683023,-0.040844818
NACA-0012,2.1,14.5,0.16679241,-0.0063952479,1.6356748,-0.062715958
NACA-0012,2.1,15,0.16278241,-0.0076512513,1.5963501,-0.075033144
