profil,vitesse_ms,angle_deg,L_kg,D_kg,L_N,D_N
NACA-0012,8.9,-5,-0.026833333,-0.017566667,-0.26314511,-0.17227015
NACA-0012,8.9,-4.5,0.0092216396,-0.015563502,0.090433392,-0.15262582
NACA-0012,8.9,-4,0.021394195,-0.015619141,0.20980538,-0.15317145
NACA-0012,8.9,-3.5,0.041353241,-0.015444465,0.40553676,-0.15145846
NACA-0012,8.9,-3,0.074330609,-0.015295738,0.72893427,-0.14999995
NACA-0012,8.9,-2.5,0.10822206,-0.014595692,1.0612958,-0.14313485
NACA-0012,8.9,-2,0.1442109,-0.013684482,1.4142258,-0.13419893
NACA-0012,8.9,-1.5,0.19191387,-0.011832839,1.8820321,-0.11604051
NACA-0012,8.9,-1,0.21604378,-0.011148967,2.1186658,-0.10933402
NACA-0012,8.9,-0.5,0.23074326,-0.010666986,2.2628184,-0.1046074
NACA-0012,8.9,0,0.235,-0.0105,2.3045627,-0.10296982
NACA-0012,8.9,0.5,0.2515,-0.01065,2.4663725,-0.10444082
NACA-0012,8.9,1,0.268,-0.0108,2.6281822,-0.10591182
NACA-0012,8.9,1.5,0.2845,-0.01095,2.7899919,-0.10738282
NACA-0012,8.9,2,0.301,-0.0111,2.9518016,-0.10885381
NACA-0012,8.9,2.5,0.3175,-0.01125,3.1136114,-0.11032481
NACA-0012,8.9,3,0.334,-0.0114,3.2754211,-0.11179581
NACA-0012,8.9,3.5,0.3505,-0.01155,3.4372308,-0.11326681
NACA-0012,8.9,4,0.367,-0.0117,3.5990405,-0.1147378
NACA-0012,8.9,4.5,0.3835,-0.01185,3.7608503,-0.1162088
NACA-0012,8.9,5,0.4,-0.012,3.92266,-0.1176798
NACA-0012,8.9,5.5,0.401,-0.0179,3.9324666,-0.17553904
NACA-0012,8.9,6,0.402,-0.0238,3.9422733,-0.23339827
NACA-0012,8.9,6.5,0.403,-0.0297,3.9520799,-0.29125751
NACA-0012,8.9,7,0.404,-0.0356,3.9618866,-0.34911674
NACA-0012,8.9,7.5,0.46958333,-0.029533333,4.6050394,-0.28962306
NACA-0012,8.9,8,0.406,-0.0474,3.9814999,-0.46483521
NACA-0012,8.9,8.5,0.407,-0.0533,3.9913066,-0.52269444
NACA-0012,8.9,9,0.408,-0.0592,4.0011132,-0.58055368
NACA-0012,8.9,9.5,0.409,-0.0651,4.0109198,-0.63841291
NACA-0012,8.9,10,0.41,-0.071,4.0207265,-0.69627215
NACA-0012,8.9,10.5,0.414,-0.07355,4.0599531,-0.72127911
NACA-0012,8.9,11,0.418,-0.0761,4.0991797,-0.74628606
NACA-0012,8.9,11.5,0.42075,-0.076075,4.126148,-0.7460409
NACA-0012,8.9,12,0.426,-0.0812,4.1776329,-0.79629998
NACA-0012,8.9,12.5,0.45125,-0.081641667,4.4252508,-0.80063125
NACA-0012,8.9,13,0.434,-0.0863,4.2560861,-0.84631389
NACA-0012,8.9,13.5,0.46158333,-0.0856,4.5265862,-0.83944924
NACA-0012,8.9,14,0.442,-0.0914,4.3345393,-0.89632781
NACA-0012,8.9,14.5,0.446,-0.09395,4.3737659,-0.92133477
NACA-0012,8.9,15,0.45,-0.0965,4.4129925,-0.94634173
