profil,vitesse_ms,angle_deg,L_kg,D_kg,L_N,D_N
NACA-0012,14.2,-5,-0.315,-0.04,-3.0890947,-0.392266
NACA-0012,14.2,-4.5,-0.2582,-0.03996,-2.532077,-0.39187373
NACA-0012,14.2,-4,-0.2014,-0.03992,-1.9750593,-0.39148147
NACA-0012,14.2,-3.5,-0.1446,-0.03988,-1.4180416,-0.3910892
NACA-0012,14.2,-3,-0.0878,-0.03984,-0.86102387,-0.39069694
NACA-0012,14.2,-2.5,-0.031,-0.0398,-0.30400615,-0.39030467
NACA-0012,14.2,-2,0.0258,-0.03976,0.25301157,-0.3899124
NACA-0012,14.2,-1.5,0.0826,-0.03972,0.81002929,-0.38952014
NACA-0012,14.2,-1,0.1394,-0.03968,1.367047,-0.38912787
NACA-0012,14.2,-0.5,0.1962,-0.03964,1.9240647,-0.38873561
NACA-0012,14.2,0,0.31416667,-0.033033333,3.0809225,-0.32394634
NACA-0012,14.2,0.5,0.3098,-0.03956,3.0381002,-0.38795107
NACA-0012,14.2,1,0.3666,-0.03952,3.5951179,-0.38755881
NACA-0012,14.2,1.5,0.4234,-0.03948,4.1521356,-0.38716654
NACA-0012,14.2,2,0.4802,-0.03944,4.7091533,-0.38677428
NACA-0012,14.2,2.5,0.537,-0.0394,5.266171,-0.38638201
NACA-0012,14.2,3,0.5938,-0.03936,5.8231888,-0.38598974
NACA-0012,14.2,3.5,0.6506,-0.03932,6.3802065,-0.38559748
NACA-0012,14.2,4,0.7074,-0.03928,6.9372242,-0.38520521
NACA-0012,14.2,4.5,0.7642,-0.03924,7.4942419,-0.38481295
NACA-0012,14.2,5,0.84916667,-0.034633333,8.3274803,-0.33963698
NACA-0012,14.2,5.5,0.8778,-0.03916,8.6082774,-0.38402841
NACA-0012,14.2,6,0.9346,-0.03912,9.1652951,-0.38363615
NACA-0012,14.2,6.5,0.9914,-0.03908,9.7223128,-0.38324388
NACA-0012,14.2,7,1.0482,-0.03904,10.279331,-0.38285162
NACA-0012,14.2,7.5,1.105,-0.039,10.836348,-0.38245935
NACA-0012,14.2,8,1.090625,-0.0585625,10.695378,-0.57430194
NACA-0012,14.2,8.5,1.07625,-0.078125,10.554407,-0.76614453
NACA-0012,14.2,9,1.061875,-0.0976875,10.413436,-0.95798712
NACA-0012,14.2,9.5,1.0475,-0.11725,10.272466,-1.1498297
NACA-0012,14.2,10,1.0312292,-0.16240625,10.112904,-1.5926613
NACA-0012,14.2,10.5,1.01875,-0.156375,9.9905247,-1.5335149
NACA-0012,14.2,11,1.004375,-0.1759375,9.8495541,-1.7253575
NACA-0012,14.2,11.5,0.99,-0.1955,9.7085835,-1.9172001
NACA-0012,14.2,12,1.0075,-0.20275,9.8801999,-1.9882983
NACA-0012,14.2,12.5,1.025,-0.21,10.051816,-2.0593965
NACA-0012,14.2,13,1.03,-0.2145,10.100849,-2.1035264
NACA-0012,14.2,13.5,1.035,-0.219,10.149883,-2.1476563
NACA-0012,14.2,14,1.0224869,-0.22025743,10.027171,-2.1599875
NACA-0012,14.2,14.5,1.0151227,-0.23094014,9.9549534,-2.2647491
NACA-0012,14.2,15,0.98466667,-0.2547,9.6562814,-2.4977538
