profil,vitesse_ms,angle_deg,L_kg,D_kg,L_N,D_N
NACA-0012,5.2,-5,0.08,-0.0035,0.784532,-0.034323275
NACA-0012,5.2,-4.5,0.0884,-0.00368,0.86690786,-0.036088472
NACA-0012,5.2,-4,0.0968,-0.00386,0.94928372,-0.037853669
NACA-0012,5.2,-3.5,0.1052,-0.00404,1.0316596,-0.039618866
NACA-0012,5.2,-3,0.1136,-0.00422,1.1140354,-0.041384063
NACA-0012,5.2,-2.5,0.122,-0.0044,1.1964113,-0.04314926
NACA-0012,5.2,-2,0.1304,-0.00458,1.2787872,-0.044914457
NACA-0012,5.2,-1.5,0.1388,-0.00476,1.361163,-0.046679654
NACA-0012,5.2,-1,0.1472,-0.00494,1.4435389,-0.048444851
NACA-0012,5.2,-0.5,0.1556,-0.00512,1.5259147,-0.050210048
NACA-0012,5.2,0,0.17816667,-0.0045666667,1.7472181,-0.044783702
NACA-0012,5.2,0.5,0.1724,-0.00548,1.6906665,-0.053740442
NACA-0012,5.2,1,0.1808,-0.00566,1.7730423,-0.055505639
NACA-0012,5.2,1.5,0.1892,-0.00584,1.8554182,-0.057270836
NACA-0012,5.2,2,0.1976,-0.00602,1.937794,-0.059036033
NACA-0012,5.2,2.5,0.206,-0.0062,2.0201699,-0.06080123
NACA-0012,5.2,3,0.2144,-0.00638,2.1025458,-0.062566427
NACA-0012,5.2,3.5,0.2228,-0.00656,2.1849216,-0.064331624
NACA-0012,5.2,4,0.2312,-0.00674,2.2672975,-0.066096821
NACA-0012,5.2,4.5,0.2396,-0.00692,2.3496733,-0.067862018
NACA-0012,5.2,5,0.22983333,-0.005525,2.2538951,-0.054181741
NACA-0012,5.2,5.5,0.2564,-0.00728,2.5144251,-0.071392412
NACA-0012,5.2,6,0.2648,-0.00746,2.5968009,-0.073157609
NACA-0012,5.2,6.5,0.2732,-0.00764,2.6791768,-0.074922806
NACA-0012,5.2,7,0.2816,-0.00782,2.7615526,-0.076688003
NACA-0012,5.2,7.5,0.29,-0.008,2.8439285,-0.0784532
NACA-0012,5.2,8,0.281875,-0.01,2.7642495,-0.0980665
NACA-0012,5.2,8.5,0.27375,-0.012,2.6845704,-0.1176798
NACA-0012,5.2,9,0.265625,-0.014,2.6048914,-0.1372931
NACA-0012,5.2,9.5,0.2575,-0.016,2.5252124,-0.1569064
NACA-0012,5.2,10,0.22802083,-0.0212,2.2361205,-0.20790098
NACA-0012,5.2,10.5,0.24125,-0.02,2.3658543,-0.196133
NACA-0012,5.2,11,0.233125,-0.022,2.2861753,-0.2157463
NACA-0012,5.2,11.5,0.225,-0.024,2.2064962,-0.2353596
NACA-0012,5.2,12,0.2425,-0.02425,2.3781126,-0.23781126
NACA-0012,5.2,12.5,0.26,-0.0245,2.549729,-0.24026292
NACA-0012,5.2,13,0.26,-0.026,2.549729,-0.2549729
NACA-0012,5.2,13.5,0.26,-0.0275,2.549729,-0.26968287
NACA-0012,5.2,14,0.25861957,-0.028853636,2.5361916,-0.28295751
NACA-0012,5.2,14.5,0.25533809,-0.032605881,2.5040112,-0.31975447
NACA-0012,5.2,15,0.2255,-0.033566667,2.2113996,-0.32917655
