profil,vitesse_ms,angle_deg,L_kg,D_kg,L_N,D_N
NACA-0012,11.2,-5,-0.115,-0.026,-1.1277647,-0.2549729
NACA-0012,11.2,-4.5,-0.0806,-0.026,-0.79041599,-0.2549729
NACA-0012,11.2,-4,-0.0462,-0.026,-0.45306723,-0.2549729
NACA-0012,11.2,-3.5,-0.0118,-0.026,-0.11571847,-0.2549729
NACA-0012,11.2,-3,0.0226,-0.026,0.22163029,-0.2549729
NACA-0012,11.2,-2.5,0.057,-0.026,0.55897905,-0.2549729
NACA-0012,11.2,-2,0.0914,-0.026,0.89632781,-0.2549729
NACA-0012,11.2,-1.5,0.1258,-0.026,1.2336766,-0.2549729
NACA-0012,11.2,-1,0.1602,-0.026,1.5710253,-0.2549729
NACA-0012,11.2,-0.5,0.1946,-0.026,1.9083741,-0.2549729
NACA-0012,11.2,0,0.26909677,-0.02158871,2.6389379,-0.21171292
NACA-0012,11.2,0.5,0.2634,-0.026,2.5830716,-0.2549729
NACA-0012,11.2,1,0.2978,-0.026,2.9204204,-0.2549729
NACA-0012,11.2,1.5,0.3322,-0.026,3.2577691,-0.2549729
NACA-0012,11.2,2,0.3666,-0.026,3.5951179,-0.2549729
NACA-0012,11.2,2.5,0.401,-0.026,3.9324666,-0.2549729
NACA-0012,11.2,3,0.4354,-0.026,4.2698154,-0.2549729
NACA-0012,11.2,3.5,0.4698,-0.026,4.6071642,-0.2549729
NACA-0012,11.2,4,0.5042,-0.026,4.9445129,-0.2549729
NACA-0012,11.2,4.5,0.5386,-0.026,5.2818617,-0.2549729
NACA-0012,11.2,5,0.57924194,-0.022709677,5.6804229,-0.22270586
NACA-0012,11.2,5.5,0.6074,-0.026,5.9565592,-0.2549729
NACA-0012,11.2,6,0.6418,-0.026,6.293908,-0.2549729
NACA-0012,11.2,6.5,0.6762,-0.026,6.6312567,-0.2549729
NACA-0012,11.2,7,0.7106,-0.026,6.9686055,-0.2549729
NACA-0012,11.2,7.5,0.745,-0.026,7.3059542,-0.2549729
NACA-0012,11.2,8,0.72875,-0.0376875,7.1465962,-0.36958812
NACA-0012,11.2,8.5,0.7125,-0.049375,6.9872381,-0.48420334
NACA-0012,11.2,9,0.69625,-0.0610625,6.8278801,-0.59881857
NACA-0012,11.2,9.5,0.68,-0.07275,6.668522,-0.71343379
NACA-0012,11.2,10,0.65372984,-0.098678427,6.4108997,-0.9677048
NACA-0012,11.2,10.5,0.6475,-0.096125,6.3498059,-0.94266423
NACA-0012,11.2,11,0.63125,-0.1078125,6.1904478,-1.0572795
NACA-0012,11.2,11.5,0.615,-0.1195,6.0310897,-1.1718947
NACA-0012,11.2,12,0.63,-0.12175,6.1781895,-1.1939596
NACA-0012,11.2,12.5,0.645,-0.124,6.3252892,-1.2160246
NACA-0012,11.2,13,0.6475,-0.12675,6.3498059,-1.2429929
NACA-0012,11.2,13.5,0.65,-0.1295,6.3743225,-1.2699612
NACA-0012,11.2,14,0.648331,-0.13197304,6.3579552,-1.2942134
NACA-0012,11.2,14.5,0.65238046,-0.14109737,6.3976669,-1.3836925
NACA-0012,11.2,15,0.63177419,-0.1551129,6.1955884,-1.521138
