profil,vitesse_ms,angle_deg,L_kg,D_kg,L_N,D_N
NACA-0012,2.9,0,0.2,0,1.96133,0
NACA-0012,2.9,5,0.135,-0.0005,1.3238977,-0.004903325
NACA-0012,2.9,10,0.13,-0.006,1.2748645,-0.0588399
NACA-0012,2.9,15,0.145,-0.0075,1.4219643,-0.073549875
