profil,vitesse_ms,angle_deg,L_kg,D_kg,L_N,D_N
NACA-0012,2.1,-5,0.14,0,1.372931,0
NACA-0012,2.1,-4.5,0.142,0,1.3925443,0
NACA-0012,2.1,-4,0.144,0,1.4121576,0
NACA-0012,2.1,-3.5,0.146,0,1.4317709,0
NACA-0012,2.1,-3,0.148,0,1.4513842,0
NACA-0012,2.1,-2.5,0.15,0,1.4709975,0
NACA-0012,2.1,-2,0.152,0,1.4906108,0
NACA-0012,2.1,-1.5,0.154,0,1.5102241,0
NACA-0012,2.1,-1,0.156,0,1.5298374,0
NACA-0012,2.1,-0.5,0.158,0,1.5494507,0
NACA-0012,2.1,0,0.16,0,1.569064,0
NACA-0012,2.1,0.5,0.162,0,1.5886773,0
NACA-0012,2.1,1,0.164,0,1.6082906,0
NACA-0012,2.1,1.5,0.166,0,1.6279039,0
NACA-0012,2.1,2,0.168,0,1.6475172,0
NACA-0012,2.1,2.5,0.17,0,1.6671305,0
NACA-0012,2.1,3,0.172,0,1.6867438,0
NACA-0012,2.1,3.5,0.174,0,1.7063571,0
NACA-0012,2.1,4,0.176,0,1.7259704,0
NACA-0012,2.1,4.5,0.178,0,1.7455837,0
NACA-0012,2.1,5,0.18,0,1.765197,0
NACA-0012,2.1,5.5,0.182,0,1.7848103,0
NACA-0012,2.1,6,0.184,0,1.8044236,0
NACA-0012,2.1,6.5,0.186,0,1.8240369,0
NACA-0012,2.1,7,0.188,0,1.8436502,0
NACA-0012,2.1,7.5,0.19,0,1.8632635,0
NACA-0012,2.1,8,0.18375,-0.000375,1.8019719,-0.0036774938
NACA-0012,2.1,8.5,0.1775,-0.00075,1.7406804,-0.0073549875
NACA-0012,2.1,9,0.17125,-0.001125,1.6793888,-0.011032481
NACA-0012,2.1,9.5,0.165,-0.0015,1.6180972,-0.014709975
NACA-0012,2.1,10,0.15875,-0.001875,1.5568057,-0.018387469
NACA-0012,2.1,10.5,0.1525,-0.00225,1.4955141,-0.022064963
NACA-0012,2.1,11,0.14625,-0.002625,1.4342226,-0.025742456
NACA-0012,2.1,11.5,0.14,-0.003,1.372931,-0.02941995
NACA-0012,2.1,12,0.165,-0.003,1.6180972,-0.02941995
NACA-0012,2.1,12.5,0.19,-0.003,1.8632635,-0.02941995
NACA-0012,2.1,13,0.18,-0.003,1.765197,-0.02941995
NACA-0012,2.1,13.5,0.17,-0.003,1.6671305,-0.02941995
