profil,vitesse_ms,angle_deg,L_kg,D_kg,L_N,D_N
NACA-0012,5.2,-5,0.08,-0.006,0.784532,-0.0588399
NACA-0012,5.2,-4.5,0.0884,-0.00608,0.86690786,-0.059624432
NACA-0012,5.2,-4,0.0968,-0.00616,0.94928372,-0.060408964
NACA-0012,5.2,-3.5,0.1052,-0.00624,1.0316596,-0.061193496
NACA-0012,5.2,-3,0.1136,-0.00632,1.1140354,-0.061978028
NACA-0012,5.2,-2.5,0.122,-0.0064,1.1964113,-0.06276256
NACA-0012,5.2,-2,0.1304,-0.00648,1.2787872,-0.063547092
NACA-0012,5.2,-1.5,0.1388,-0.00656,1.361163,-0.064331624
NACA-0012,5.2,-1,0.1472,-0.00664,1.4435389,-0.065116156
NACA-0012,5.2,-0.5,0.1556,-0.00672,1.5259147,-0.065900688
NACA-0012,5.2,0,0.164,-0.0068,1.6082906,-0.06668522
NACA-0012,5.2,0.5,0.1724,-0.00688,1.6906665,-0.067469752
NACA-0012,5.2,1,0.1808,-0.00696,1.7730423,-0.068254284
NACA-0012,5.2,1.5,0.1892,-0.00704,1.8554182,-0.069038816
NACA-0012,5.2,2,0.1976,-0.00712,1.937794,-0.069823348
NACA-0012,5.2,2.5,0.206,-0.0072,2.0201699,-0.07060788
NACA-0012,5.2,3,0.2144,-0.00728,2.1025458,-0.071392412
NACA-0012,5.2,3.5,0.2228,-0.00736,2.1849216,-0.072176944
NACA-0012,5.2,4,0.2312,-0.00744,2.2672975,-0.072961476
NACA-0012,5.2,4.5,0.2396,-0.00752,2.3496733,-0.073746008
NACA-0012,5.2,5,0.248,-0.0076,2.4320492,-0.07453054
NACA-0012,5.2,5.5,0.2564,-0.00768,2.5144251,-0.075315072
NACA-0012,5.2,6,0.2648,-0.00776,2.5968009,-0.076099604
NACA-0012,5.2,6.5,0.2732,-0.00784,2.6791768,-0.076884136
NACA-0012,5.2,7,0.2816,-0.00792,2.7615526,-0.077668668
NACA-0012,5.2,7.5,0.29,-0.008,2.8439285,-0.0784532
NACA-0012,5.2,8,0.28125,-0.01,2.7581203,-0.0980665
NACA-0012,5.2,8.5,0.2725,-0.012,2.6723121,-0.1176798
NACA-0012,5.2,9,0.26375,-0.014,2.5865039,-0.1372931
NACA-0012,5.2,9.5,0.255,-0.016,2.5006957,-0.1569064
NACA-0012,5.2,10,0.24625,-0.018,2.4148876,-0.1765197
NACA-0012,5.2,10.5,0.2375,-0.02,2.3290794,-0.196133
NACA-0012,5.2,11,0.22875,-0.022,2.2432712,-0.2157463
NACA-0012,5.2,11.5,0.22,-0.024,2.157463,-0.2353596
NACA-0012,5.2,12,0.24,-0.0245,2.353596,-0.24026293
NACA-0012,5.2,12.5,0.26,-0.025,2.549729,-0.24516625
NACA-0012,5.2,13,0.26,-0.0255,2.549729,-0.25006957
NACA-0012,5.2,13.5,0.26,-0.026,2.549729,-0.2549729
