profil,vitesse_ms,angle_deg,L_kg,D_kg,L_N,D_N
NACA-0012,12,0,0.335,-0.0195,3.2852278,-0.19122967
NACA-0012,12,0.5,0.3665,-0.01975,3.5941372,-0.19368134
NACA-0012,12,1,0.398,-0.02,3.9030467,-0.196133
NACA-0012,12,1.5,0.4295,-0.02025,4.2119562,-0.19858466
NACA-0012,12,2,0.461,-0.0205,4.5208657,-0.20103632
NACA-0012,12,2.5,0.4925,-0.02075,4.8297751,-0.20348799
NACA-0012,12,3,0.524,-0.021,5.1386846,-0.20593965
NACA-0012,12,3.5,0.5555,-0.02125,5.4475941,-0.20839131
NACA-0012,12,4,0.587,-0.0215,5.7565035,-0.21084297
NACA-0012,12,4.5,0.6185,-0.02175,6.065413,-0.21329464
NACA-0012,12,5,0.65,-0.022,6.3743225,-0.2157463
NACA-0012,12,5.5,0.6575,-0.03255,6.4478724,-0.31920646
NACA-0012,12,6,0.665,-0.0431,6.5214222,-0.42266661
NACA-0012,12,6.5,0.6725,-0.05365,6.5949721,-0.52612677
NACA-0012,12,7,0.68,-0.0642,6.668522,-0.62958693
NACA-0012,12,7.5,0.6875,-0.07475,6.7420719,-0.73304709
NACA-0012,12,8,0.695,-0.0853,6.8156218,-0.83650724
NACA-0012,12,8.5,0.7025,-0.09585,6.8891716,-0.9399674
NACA-0012,12,9,0.71,-0.1064,6.9627215,-1.0434276
NACA-0012,12,9.5,0.7175,-0.11695,7.0362714,-1.1468877
NACA-0012,12,10,0.725,-0.1275,7.1098212,-1.2503479
NACA-0012,12,10.5,0.722,-0.1323,7.0804013,-1.2974198
NACA-0012,12,11,0.719,-0.1371,7.0509813,-1.3444917
NACA-0012,12,11.5,0.716,-0.1419,7.0215614,-1.3915636
NACA-0012,12,12,0.713,-0.1467,6.9921414,-1.4386356
NACA-0012,12,12.5,0.71,-0.1515,6.9627215,-1.4857075
NACA-0012,12,13,0.707,-0.1563,6.9333015,-1.5327794
NACA-0012,12,13.5,0.704,-0.1611,6.9038816,-1.5798513
NACA-0012,12,14,0.701,-0.1659,6.8744616,-1.6269232
NACA-0012,12,14.5,0.698,-0.1707,6.8450417,-1.6739952
NACA-0012,12,15,0.695,-0.1755,6.8156217,-1.7210671
