profil,vitesse_ms,angle_deg,L_kg,D_kg,L_N,D_N
NACA-0012,5.9,0,0.19,-0.005,1.8632635,-0.04903325
NACA-0012,5.9,0.5,0.1945,-0.005,1.9073934,-0.04903325
NACA-0012,5.9,1,0.199,-0.005,1.9515233,-0.04903325
NACA-0012,5.9,1.5,0.2035,-0.005,1.9956533,-0.04903325
NACA-0012,5.9,2,0.208,-0.005,2.0397832,-0.04903325
NACA-0012,5.9,2.5,0.2125,-0.005,2.0839131,-0.04903325
NACA-0012,5.9,3,0.217,-0.005,2.128043,-0.04903325
NACA-0012,5.9,3.5,0.2215,-0.005,2.172173,-0.04903325
NACA-0012,5.9,4,0.226,-0.005,2.2163029,-0.04903325
NACA-0012,5.9,4.5,0.2305,-0.005,2.2604328,-0.04903325
NACA-0012,5.9,5,0.235,-0.005,2.3045627,-0.04903325
NACA-0012,5.9,5.5,0.2345,-0.0075,2.2996594,-0.073549875
NACA-0012,5.9,6,0.234,-0.01,2.2947561,-0.0980665
NACA-0012,5.9,6.5,0.2335,-0.0125,2.2898528,-0.12258312
NACA-0012,5.9,7,0.233,-0.015,2.2849495,-0.14709975
NACA-0012,5.9,7.5,0.2325,-0.0175,2.2800461,-0.17161637
NACA-0012,5.9,8,0.232,-0.02,2.2751428,-0.196133
NACA-0012,5.9,8.5,0.2315,-0.0225,2.2702395,-0.22064962
NACA-0012,5.9,9,0.231,-0.025,2.2653361,-0.24516625
NACA-0012,5.9,9.5,0.2305,-0.0275,2.2604328,-0.26968287
NACA-0012,5.9,10,0.23,-0.03,2.2555295,-0.2941995
NACA-0012,5.9,10.5,0.232,-0.03115,2.2751428,-0.30547715
NACA-0012,5.9,11,0.234,-0.0323,2.2947561,-0.31675479
NACA-0012,5.9,11.5,0.236,-0.03345,2.3143694,-0.32803244
NACA-0012,5.9,12,0.238,-0.0346,2.3339827,-0.33931009
NACA-0012,5.9,12.5,0.24,-0.03575,2.353596,-0.35058774
NACA-0012,5.9,13,0.242,-0.0369,2.3732093,-0.36186538
NACA-0012,5.9,13.5,0.244,-0.03805,2.3928226,-0.37314303
NACA-0012,5.9,14,0.246,-0.0392,2.4124359,-0.38442068
NACA-0012,5.9,14.5,0.248,-0.04035,2.4320492,-0.39569833
NACA-0012,5.9,15,0.25,-0.0415,2.4516625,-0.40697597
