profil,vitesse_ms,angle_deg,L_kg,D_kg,L_N,D_N
NACA-0012,8.2,-5,0,-0.015,0,-0.14709975
NACA-0012,8.2,-4.5,0.0188,-0.015,0.18436502,-0.14709975
NACA-0012,8.2,-4,0.0376,-0.015,0.36873004,-0.14709975
NACA-0012,8.2,-3.5,0.0564,-0.015,0.55309506,-0.14709975
NACA-0012,8.2,-3,0.0752,-0.015,0.73746008,-0.14709975
NACA-0012,8.2,-2.5,0.094,-0.015,0.9218251,-0.14709975
NACA-0012,8.2,-2,0.1128,-0.015,1.1061901,-0.14709975
NACA-0012,8.2,-1.5,0.1316,-0.015,1.2905551,-0.14709975
NACA-0012,8.2,-1,0.1504,-0.015,1.4749202,-0.14709975
NACA-0012,8.2,-0.5,0.1692,-0.015,1.6592852,-0.14709975
NACA-0012,8.2,0,0.188,-0.015,1.8436502,-0.14709975
NACA-0012,8.2,0.5,0.2068,-0.015,2.0280152,-0.14709975
NACA-0012,8.2,1,0.2256,-0.015,2.2123802,-0.14709975
NACA-0012,8.2,1.5,0.2444,-0.015,2.3967453,-0.14709975
NACA-0012,8.2,2,0.2632,-0.015,2.5811103,-0.14709975
NACA-0012,8.2,2.5,0.282,-0.015,2.7654753,-0.14709975
NACA-0012,8.2,3,0.3008,-0.015,2.9498403,-0.14709975
NACA-0012,8.2,3.5,0.3196,-0.015,3.1342053,-0.14709975
NACA-0012,8.2,4,0.3384,-0.015,3.3185704,-0.14709975
NACA-0012,8.2,4.5,0.3572,-0.015,3.5029354,-0.14709975
NACA-0012,8.2,5,0.376,-0.015,3.6873004,-0.14709975
NACA-0012,8.2,5.5,0.3948,-0.015,3.8716654,-0.14709975
NACA-0012,8.2,6,0.4136,-0.015,4.0560304,-0.14709975
NACA-0012,8.2,6.5,0.4324,-0.015,4.2403955,-0.14709975
NACA-0012,8.2,7,0.4512,-0.015,4.4247605,-0.14709975
NACA-0012,8.2,7.5,0.47,-0.015,4.6091255,-0.14709975
NACA-0012,8.2,8,0.45375,-0.02075,4.4497674,-0.20348799
NACA-0012,8.2,8.5,0.4375,-0.0265,4.2904094,-0.25987622
NACA-0012,8.2,9,0.42125,-0.03225,4.1310513,-0.31626446
NACA-0012,8.2,9.5,0.405,-0.038,3.9716932,-0.3726527
NACA-0012,8.2,10,0.38875,-0.04375,3.8123352,-0.42904094
NACA-0012,8.2,10.5,0.3725,-0.0495,3.6529771,-0.48542917
NACA-0012,8.2,11,0.35625,-0.05525,3.4936191,-0.54181741
NACA-0012,8.2,11.5,0.34,-0.061,3.334261,-0.59820565
NACA-0012,8.2,12,0.38,-0.064,3.726527,-0.6276256
NACA-0012,8.2,12.5,0.42,-0.067,4.118793,-0.65704555
NACA-0012,8.2,13,0.415,-0.068,4.0697597,-0.6668522
NACA-0012,8.2,13.5,0.41,-0.069,4.0207265,-0.67665885
