profil,vitesse_ms,angle_deg,L_kg,D_kg,L_N,D_N
NACA-0012,12,0,0.335,-0.0195,3.2852278,-0.19122967
NACA-0012,12,5,0.65,-0.022,6.3743225,-0.2157463
NACA-0012,12,10,0.725,-0.1275,7.1098212,-1.2503479
NACA-0012,12,15,0.695,-0.1755,6.8156217,-1.7210671
