profil,vitesse_ms,angle_deg,L_kg,D_kg,L_N,D_N
NACA-0012,14.2,-5,-0.31,-0.04,-3.0400615,-0.392266
NACA-0012,14.2,-4.5,-0.2536,-0.03996,-2.4869664,-0.39187373
NACA-0012,14.2,-4,-0.1972,-0.03992,-1.9338714,-0.39148147
NACA-0012,14.2,-3.5,-0.1408,-0.03988,-1.3807763,-0.3910892
NACA-0012,14.2,-3,-0.0844,-0.03984,-0.82768126,-0.39069694
NACA-0012,14.2,-2.5,-0.028,-0.0398,-0.2745862,-0.39030467
NACA-0012,14.2,-2,0.0284,-0.03976,0.27850886,-0.3899124
NACA-0012,14.2,-1.5,0.0848,-0.03972,0.83160392,-0.38952014
NACA-0012,14.2,-1,0.1412,-0.03968,1.384699,-0.38912787
NACA-0012,14.2,-0.5,0.1976,-0.03964,1.937794,-0.38873561
NACA-0012,14.2,0,0.254,-0.0396,2.4908891,-0.38834334
NACA-0012,14.2,0.5,0.3104,-0.03956,3.0439842,-0.38795107
NACA-0012,14.2,1,0.3668,-0.03952,3.5970792,-0.38755881
NACA-0012,14.2,1.5,0.4232,-0.03948,4.1501743,-0.38716654
NACA-0012,14.2,2,0.4796,-0.03944,4.7032693,-0.38677428
NACA-0012,14.2,2.5,0.536,-0.0394,5.2563644,-0.38638201
NACA-0012,14.2,3,0.5924,-0.03936,5.8094595,-0.38598974
NACA-0012,14.2,3.5,0.6488,-0.03932,6.3625545,-0.38559748
NACA-0012,14.2,4,0.7052,-0.03928,6.9156496,-0.38520521
NACA-0012,14.2,4.5,0.7616,-0.03924,7.4687446,-0.38481295
NACA-0012,14.2,5,0.818,-0.0392,8.0218397,-0.38442068
NACA-0012,14.2,5.5,0.8744,-0.03916,8.5749348,-0.38402841
NACA-0012,14.2,6,0.9308,-0.03912,9.1280298,-0.38363615
NACA-0012,14.2,6.5,0.9872,-0.03908,9.6811249,-0.38324388
NACA-0012,14.2,7,1.0436,-0.03904,10.23422,-0.38285162
NACA-0012,14.2,7.5,1.1,-0.039,10.787315,-0.38245935
NACA-0012,14.2,8,1.08125,-0.05875,10.60344,-0.57614069
NACA-0012,14.2,8.5,1.0625,-0.0785,10.419566,-0.76982202
NACA-0012,14.2,9,1.04375,-0.09825,10.235691,-0.96350336
NACA-0012,14.2,9.5,1.025,-0.118,10.051816,-1.1571847
NACA-0012,14.2,10,1.00625,-0.13775,9.8679416,-1.350866
NACA-0012,14.2,10.5,0.9875,-0.1575,9.6840669,-1.5445474
NACA-0012,14.2,11,0.96875,-0.17725,9.5001922,-1.7382287
NACA-0012,14.2,11.5,0.95,-0.197,9.3163175,-1.93191
NACA-0012,14.2,12,0.995,-0.204,9.7576168,-2.0005566
NACA-0012,14.2,12.5,1.04,-0.211,10.198916,-2.0692031
NACA-0012,14.2,13,1.02,-0.2155,10.002783,-2.1133331
NACA-0012,14.2,13.5,1,-0.22,9.80665,-2.157463
