profil,vitesse_ms,angle_deg,L_kg,D_kg,L_N,D_N
NACA-0012,17.3,5,1.23,-0.043,12.062179,-0.42168595
NACA-0012,17.3,5.5,1.249,-0.0658,12.248506,-0.64527757
NACA-0012,17.3,6,1.268,-0.0886,12.434832,-0.86886919
NACA-0012,17.3,6.5,1.287,-0.1114,12.621159,-1.0924608
NACA-0012,17.3,7,1.306,-0.1342,12.807485,-1.3160524
NACA-0012,17.3,7.5,1.325,-0.157,12.993811,-1.539644
NACA-0012,17.3,8,1.344,-0.1798,13.180138,-1.7632357
NACA-0012,17.3,8.5,1.363,-0.2026,13.366464,-1.9868273
NACA-0012,17.3,9,1.382,-0.2254,13.55279,-2.2104189
NACA-0012,17.3,9.5,1.401,-0.2482,13.739117,-2.4340105
NACA-0012,17.3,10,1.42,-0.271,13.925443,-2.6576022
