x,z,ue
9.151141100804e-05,6.592473537106e-03,0.000000000000e+00
3.298702378179e-04,7.561310920377e-03,5.376833175577e-02
6.246744300258e-04,8.536713741263e-03,1.222119997650e-01
9.759497630440e-04,9.518592955700e-03,1.873314778972e-01
1.383715743827e-03,1.050685044846e-02,2.489621836630e-01
1.847985582976e-03,1.150137908787e-02,3.070361633103e-01
2.368766165572e-03,1.250206278749e-02,3.615657334041e-01
2.946058020806e-03,1.350877657443e-02,4.126264935696e-01
3.579855290437e-03,1.452138666463e-02,4.603412410346e-01
4.270145696141e-03,1.553975054462e-02,5.048657113106e-01
5.016910505817e-03,1.656371706000e-02,5.463765768960e-01
5.820124498907e-03,1.759312651041e-02,5.850617819007e-01
6.679755930801e-03,1.862781075088e-02,6.211130658175e-01
7.595766496403e-03,1.966759329962e-02,6.547204086922e-01
8.568111292928e-03,2.071228945193e-02,6.860680831144e-01
9.596738782012e-03,2.176170640035e-02,7.153319992276e-01
1.068159075123e-02,2.281564336079e-02,7.426780566498e-01
1.182260227507e-02,2.387389170457e-02,7.682612572981e-01
1.301970167555e-02,2.493623509626e-02,7.922253763332e-01
1.427281048240e-02,2.600244963721e-02,8.147030294436e-01
1.558184339310e-02,2.707230401462e-02,8.358160108306e-01
1.694670823274e-02,2.814555965598e-02,8.556758065990e-01
1.836730591381e-02,2.922197088885e-02,8.743842128586e-01
1.984353039616e-02,3.030128510570e-02,8.920340072516e-01
2.137526864701e-02,3.138324293381e-02,9.087096376085e-01
2.296240060128e-02,3.246757840993e-02,9.244879027876e-01
2.460479912237e-02,3.355401915965e-02,9.394386092150e-01
2.630232996330e-02,3.464228658135e-02,9.536251928297e-01
2.805485172861e-02,3.573209603437e-02,9.671053006084e-01
2.986221583685e-02,3.682315703154e-02,9.799313289858e-01
3.172426648392e-02,3.791517343561e-02,9.921509186654e-01
3.364084060746e-02,3.900784365963e-02,1.003807406765e+00
3.561176785211e-02,4.010086087090e-02,1.014940238177e+00
3.763687053608e-02,4.119391319855e-02,1.025585338568e+00
3.971596361895e-02,4.228668394436e-02,1.035775451749e+00
4.184885467084e-02,4.337885179673e-02,1.045540444254e+00
4.403534384305e-02,4.447009104764e-02,1.054907579920e+00
4.627522384043e-02,4.556007181239e-02,1.063901767225e+00
4.856827989532e-02,4.664846025181e-02,1.072545781934e+00
5.091428974338e-02,4.773491879706e-02,1.080860467468e+00
5.331302360138e-02,4.881910637641e-02,1.088864915213e+00
5.576424414692e-02,4.990067864424e-02,1.096576626801e+00
5.826770650042e-02,5.097928821166e-02,1.104011660208e+00
6.082315820920e-02,5.205458487888e-02,1.111184761330e+00
6.343033923396e-02,5.312621586899e-02,1.118109482562e+00
6.608898193770e-02,5.419382606287e-02,1.124798289709e+00
6.879881107709e-02,5.525705823527e-02,1.131262658467e+00
7.155954379646e-02,5.631555329162e-02,1.137513161535e+00
7.437088962450e-02,5.736895050555e-02,1.143559547346e+00
7.723255047367e-02,5.841688775678e-02,1.149410811280e+00
8.014422064247e-02,5.945900176932e-02,1.155075260131e+00
8.310558682064e-02,6.049492834969e-02,1.160560570515e+00
8.611632809730e-02,6.152430262505e-02,1.165873841844e+00
8.917611597215e-02,6.254675928092e-02,1.171021644408e+00
9.228461436979e-02,6.356193279841e-02,1.176010063062e+00
9.544147965716e-02,6.456945769080e-02,1.180844736951e+00
9.864636066421e-02,6.556896873909e-02,1.185530895658e+00
1.018988987078e-01,6.656010122661e-02,1.190073392151e+00
1.051987276191e-01,6.754249117224e-02,1.194476732796e+00
1.085454737738e-01,6.851577556223e-02,1.198745104767e+00
1.119387561262e-01,6.947959258044e-02,1.202882401058e+00
1.153781862468e-01,7.043358183664e-02,1.206892243349e+00
1.188633683624e-01,7.137738459300e-02,1.210778002917e+00
1.223938994010e-01,7.231064398829e-02,1.214542819771e+00
1.259693690386e-01,7.323300525987e-02,1.218189620173e+00
1.295893597508e-01,7.414411596313e-02,1.221721132688e+00
1.332534468672e-01,7.504362618832e-02,1.225139902904e+00
1.369611986291e-01,7.593118877462e-02,1.228448306922e+00
1.407121762509e-01,7.680645952121e-02,1.231648563729e+00
1.445059339852e-01,7.766909739532e-02,1.234742746558e+00
1.483420191902e-01,7.851876473697e-02,1.237732793300e+00
