x,z,ue
1.558184339310e-02,2.707230401462e-02,0.000000000000e+00
1.427281048240e-02,2.600244963721e-02,4.708480725392e-02
1.301970167555e-02,2.493623509626e-02,9.328505788486e-02
1.182260227507e-02,2.387389170457e-02,1.419947441054e-01
1.068159075123e-02,2.281564336079e-02,1.933747894396e-01
9.596738782012e-03,2.176170640035e-02,2.475901888395e-01
8.568111292928e-03,2.071228945193e-02,3.048074634758e-01
7.595766496403e-03,1.966759329962e-02,3.651911197861e-01
6.679755930801e-03,1.862781075088e-02,4.288988691565e-01
5.820124498907e-03,1.759312651041e-02,4.960753383226e-01
5.016910505817e-03,1.656371706000e-02,5.668439899211e-01
4.270145696141e-03,1.553975054462e-02,6.412969911057e-01
3.579855290437e-03,1.452138666463e-02,7.194828346581e-01
2.946058020806e-03,1.350877657443e-02,8.013916559974e-01
2.368766165572e-03,1.250206278749e-02,8.869384291553e-01
1.847985582976e-03,1.150137908787e-02,9.759445924145e-01
1.383715743827e-03,1.050685044846e-02,1.068119166660e+00
9.759497630440e-04,9.518592955700e-03,1.163041077644e+00
6.246744300258e-04,8.536713741263e-03,1.260145123081e+00
3.298702378179e-04,7.561310920377e-03,1.358714718827e+00
9.151141100804e-05,6.592473537106e-03,1.457885029518e+00
-9.043406768004e-05,5.630281516521e-03,1.556660114349e+00
-2.160044321348e-04,4.674805623846e-03,1.653947131275e+00
-2.852441089802e-04,3.726107430609e-03,1.748609535259e+00
-2.982036951024e-04,2.784239287829e-03,1.839540397821e+00
-2.549399365997e-04,1.849244306283e-03,1.925759712899e+00
-1.555157091781e-04,9.211563438570e-04,2.006563979369e+00
0.000000000000e+00,0.000000000000e+00,2.081680425840e+00
2.107137136943e-04,-9.101171238062e-04,2.150823299631e+00
4.757258610253e-04,-1.805093214701e-03,2.212953185724e+00
7.949491745847e-04,-2.684921036441e-03,2.266901145322e+00
1.168290313833e-03,-3.549595660963e-03,2.312108803392e+00
1.595649886614e-03,-4.399114460648e-03,2.348435498803e+00
2.076922473467e-03,-5.233477102387e-03,2.376053253320e+00
2.611996654726e-03,-6.052685543442e-03,2.395383008355e+00
3.200755040395e-03,-6.856744029091e-03,2.407032762498e+00
3.843074302758e-03,-7.645659092048e-03,2.411736447193e+00
4.538825211714e-03,-8.419439553626e-03,2.410297318156e+00
5.287872672790e-03,-9.178096526632e-03,2.403539431879e+00
6.090075767798e-03,-9.921643419970e-03,2.392269261355e+00
6.945287798098e-03,-1.065009594491e-02,2.377247891613e+00
7.853356330406e-03,-1.136347212298e-02,2.359172996651e+00
8.814123245106e-03,-1.206179229551e-02,2.338669061929e+00
9.827424787000e-03,-1.274507913468e-02,2.316284028421e+00
1.089309161843e-02,-1.341335765610e-02,2.292490569096e+00
1.201094887475e-02,-1.406665523288e-02,2.267690433143e+00
