x,z,ue
6.362968460341e-02,-2.646616418509e-02,0.000000000000e+00
6.114181386837e-02,-2.621097958328e-02,1.283463945897e-02
5.869927379268e-02,-2.594262792993e-02,3.633186442634e-02
5.630236490293e-02,-2.566100627300e-02,6.088490071467e-02
5.395138431445e-02,-2.536601472338e-02,8.655662513001e-02
5.164662565061e-02,-2.505755643020e-02,1.134144726190e-01
4.938837896158e-02,-2.473553755529e-02,1.415307912062e-01
4.717693064244e-02,-2.439986724679e-02,1.709832193010e-01
4.501256335111e-02,-2.405045761220e-02,2.018550844290e-01
4.289555592580e-02,-2.368722369073e-02,2.342358214482e-01
4.082618330247e-02,-2.331008342528e-02,2.682214069542e-01
3.880471643218e-02,-2.291895763404e-02,3.039148047616e-01
3.683142219852e-02,-2.251376998174e-02,3.414264149388e-01
3.490656333524e-02,-2.209444695083e-02,3.808745156849e-01
3.303039834423e-02,-2.166091781254e-02,4.223856831823e-01
3.120318141390e-02,-2.121311459798e-02,4.660951691495e-01
2.942516233813e-02,-2.075097206931e-02,5.121472088491e-01
2.769658643585e-02,-2.027442769121e-02,5.606952233868e-01
2.601769447145e-02,-1.978342160261e-02,6.119018688122e-01
2.438872257606e-02,-1.927789658878e-02,6.659388702884e-01
2.280990216980e-02,-1.875779805398e-02,7.229865618918e-01
2.128145988524e-02,-1.822307399466e-02,7.832330308697e-01
1.980361749200e-02,-1.767367497325e-02,8.468727389952e-01
1.837659182272e-02,-1.710955409282e-02,9.141044627813e-01
1.700059470046e-02,-1.653066697241e-02,9.851283590476e-01
1.567583286762e-02,-1.593697172337e-02,1.060141923799e+00
1.440250791659e-02,-1.532842892666e-02,1.139334573145e+00
1.318081622196e-02,-1.470500161111e-02,1.222880539792e+00
1.201094887475e-02,-1.406665523288e-02,1.310929755470e+00
1.089309161843e-02,-1.341335765610e-02,1.403596390844e+00
9.827424787000e-03,-1.274507913468e-02,1.500944768139e+00
8.814123245106e-03,-1.206179229551e-02,1.602972472442e+00
7.853356330406e-03,-1.136347212298e-02,1.709590696438e+00
6.945287798098e-03,-1.065009594491e-02,1.820602194704e+00
6.090075767798e-03,-9.921643419970e-03,1.935677729403e+00
5.287872672790e-03,-9.178096526632e-03,2.054332575061e+00
