x,z,ue
3.200755040395e-03,-6.856744029091e-03,0.000000000000e+00
2.611996654726e-03,-6.052685543442e-03,7.819239466881e-02
2.076922473467e-03,-5.233477102387e-03,1.507202924429e-01
1.595649886614e-03,-4.399114460648e-03,2.258855767525e-01
1.168290313833e-03,-3.549595660963e-03,3.031223703803e-01
7.949491745847e-04,-2.684921036441e-03,3.817770001091e-01
4.757258610253e-04,-1.805093214701e-03,4.611465015303e-01
2.107137136943e-04,-9.101171238062e-04,5.405381150709e-01
0.000000000000e+00,0.000000000000e+00,6.192998039851e-01
-1.555157091781e-04,9.211563438570e-04,6.968079377355e-01
-2.549399365997e-04,1.849244306283e-03,7.721998408871e-01
-2.982036951024e-04,2.784239287829e-03,8.445136560528e-01
-2.852441089802e-04,3.726107430609e-03,9.130312548924e-01
-2.160044321348e-04,4.674805623846e-03,9.772105688752e-01
-9.043406768004e-05,5.630281516521e-03,1.036676230014e+00
9.151141100804e-05,6.592473537106e-03,1.091217287585e+00
3.298702378179e-04,7.561310920377e-03,1.140775667425e+00
6.246744300258e-04,8.536713741263e-03,1.185426046307e+00
9.759497630440e-04,9.518592955700e-03,1.225350360213e+00
1.383715743827e-03,1.050685044846e-02,1.260810456413e+00
1.847985582976e-03,1.150137908787e-02,1.292121810277e+00
2.368766165572e-03,1.250206278749e-02,1.319630300387e+00
2.946058020806e-03,1.350877657443e-02,1.343693095418e+00
3.579855290437e-03,1.452138666463e-02,1.364663935404e+00
4.270145696141e-03,1.553975054462e-02,1.382882556008e+00
5.016910505817e-03,1.656371706000e-02,1.398667698939e+00
5.820124498907e-03,1.759312651041e-02,1.412313027279e+00
6.679755930801e-03,1.862781075088e-02,1.424085263225e+00
7.595766496403e-03,1.966759329962e-02,1.434223935766e+00
8.568111292928e-03,2.071228945193e-02,1.442942227853e+00
9.596738782012e-03,2.176170640035e-02,1.450428520965e+00
1.068159075123e-02,2.281564336079e-02,1.456848334992e+00
1.182260227507e-02,2.387389170457e-02,1.462346446175e+00
1.301970167555e-02,2.493623509626e-02,1.467049033786e+00
1.427281048240e-02,2.600244963721e-02,1.471065758198e+00
1.558184339310e-02,2.707230401462e-02,1.474491711278e+00
1.694670823274e-02,2.814555965598e-02,1.477409207281e+00
1.836730591381e-02,2.922197088885e-02,1.479889401133e+00
1.984353039616e-02,3.030128510570e-02,1.481993733296e+00
2.137526864701e-02,3.138324293381e-02,1.483775208139e+00
2.296240060128e-02,3.246757840993e-02,1.485279517198e+00
2.460479912237e-02,3.355401915965e-02,1.486546020946e+00
2.630232996330e-02,3.464228658135e-02,1.487608603461e+00
2.805485172861e-02,3.573209603437e-02,1.488496414210e+00
2.986221583685e-02,3.682315703154e-02,1.489234510442e+00
3.172426648392e-02,3.791517343561e-02,1.489844412608e+00
3.364084060746e-02,3.900784365963e-02,1.490344584095e+00
3.561176785211e-02,4.010086087090e-02,1.490750845294e+00
3.763687053608e-02,4.119391319855e-02,1.491076730886e+00
