x,z,ue
6.246744300258e-04,8.536713741263e-03,0.000000000000e+00
9.759497630440e-04,9.518592955700e-03,8.332053430450e-02
1.383715743827e-03,1.050685044846e-02,1.475457638504e-01
1.847985582976e-03,1.150137908787e-02,2.082750339280e-01
2.368766165572e-03,1.250206278749e-02,2.654872577884e-01
2.946058020806e-03,1.350877657443e-02,3.192298110572e-01
3.579855290437e-03,1.452138666463e-02,3.696023161739e-01
4.270145696141e-03,1.553975054462e-02,4.167420202280e-01
5.016910505817e-03,1.656371706000e-02,4.608112968881e-01
5.820124498907e-03,1.759312651041e-02,5.019874263065e-01
6.679755930801e-03,1.862781075088e-02,5.404545599200e-01
7.595766496403e-03,1.966759329962e-02,5.763976370304e-01
8.568111292928e-03,2.071228945193e-02,6.099979583293e-01
9.596738782012e-03,2.176170640035e-02,6.414301115369e-01
1.068159075123e-02,2.281564336079e-02,6.708599647654e-01
1.182260227507e-02,2.387389170457e-02,6.984434788267e-01
1.301970167555e-02,2.493623509626e-02,7.243261304291e-01
1.427281048240e-02,2.600244963721e-02,7.486427781022e-01
1.558184339310e-02,2.707230401462e-02,7.715178385970e-01
1.694670823274e-02,2.814555965598e-02,7.930656721496e-01
1.836730591381e-02,2.922197088885e-02,8.133911001807e-01
1.984353039616e-02,3.030128510570e-02,8.325899991098e-01
2.137526864701e-02,3.138324293381e-02,8.507499296771e-01
2.296240060128e-02,3.246757840993e-02,8.679507732004e-01
2.460479912237e-02,3.355401915965e-02,8.842653552749e-01
2.630232996330e-02,3.464228658135e-02,8.997600441576e-01
2.805485172861e-02,3.573209603437e-02,9.144953160008e-01
2.986221583685e-02,3.682315703154e-02,9.285262826377e-01
3.172426648392e-02,3.791517343561e-02,9.419031801165e-01
3.364084060746e-02,3.900784365963e-02,9.546718178950e-01
3.561176785211e-02,4.010086087090e-02,9.668739897548e-01
3.763687053608e-02,4.119391319855e-02,9.785478482213e-01
3.971596361895e-02,4.228668394436e-02,9.897282447061e-01
4.184885467084e-02,4.337885179673e-02,1.000447037810e+00
4.403534384305e-02,4.447009104764e-02,1.010733372299e+00
4.627522384043e-02,4.556007181239e-02,1.020613931229e+00
4.856827989532e-02,4.664846025181e-02,1.030113163639e+00
5.091428974338e-02,4.773491879706e-02,1.039253490045e+00
5.331302360138e-02,4.881910637641e-02,1.048055487890e+00
5.576424414692e-02,4.990067864424e-02,1.056538058871e+00
5.826770650042e-02,5.097928821166e-02,1.064718579958e+00
6.082315820920e-02,5.205458487888e-02,1.072613039724e+00
6.343033923396e-02,5.312621586899e-02,1.080236161470e+00
6.608898193770e-02,5.419382606287e-02,1.087601514487e+00
6.879881107709e-02,5.525705823527e-02,1.094721614655e+00
7.155954379646e-02,5.631555329162e-02,1.101608015454e+00
7.437088962450e-02,5.736895050555e-02,1.108271390384e+00
7.723255047367e-02,5.841688775678e-02,1.114721607633e+00
8.014422064247e-02,5.945900176932e-02,1.120967797803e+00
8.310558682064e-02,6.049492834969e-02,1.127018415371e+00
8.611632809730e-02,6.152430262505e-02,1.132881294525e+00
8.917611597215e-02,6.254675928092e-02,1.138563699923e+00
9.228461436979e-02,6.356193279841e-02,1.144072372881e+00
9.544147965716e-02,6.456945769080e-02,1.149413573446e+00
