alpha_deg,CL
-15.00,-1.291440380144e+00
-14.50,-1.231944521781e+00
-14.00,-1.172353899073e+00
-13.50,-1.112673027068e+00
-13.00,-1.052906428348e+00
-12.50,-9.930586327061e-01
-12.00,-9.331341768118e-01
-11.50,-8.731376038833e-01
-11.00,-8.130734633536e-01
-10.50,-7.529463105376e-01
-10.00,-6.927607062988e-01
-9.50,-6.325212167134e-01
-9.00,-5.722324127353e-01
-8.50,-5.118988698585e-01
-8.00,-4.515251677803e-01
-7.50,-3.911158900619e-01
-7.00,-3.306756237898e-01
-6.50,-2.702089592352e-01
-6.00,-2.097204895128e-01
-5.50,-1.492148102396e-01
-5.00,-8.869651919178e-02
-4.50,-2.817021596170e-02
-4.00,3.235949838628e-02
-3.50,9.288802166043e-02
-3.00,1.534107508872e-01
-2.50,2.139230826570e-01
-2.00,2.744204134715e-01
-1.50,3.348981400903e-01
-1.00,3.953516598790e-01
-0.50,4.557763711580e-01
0.00,5.161676735513e-01
0.50,5.765209683358e-01
1.00,6.368316587916e-01
1.50,6.970951505523e-01
2.00,7.573068519560e-01
2.50,8.174621743965e-01
3.00,8.775565326749e-01
3.50,9.375853453520e-01
4.00,9.975440350999e-01
4.50,1.057428029056e+00
5.00,1.117232759173e+00
5.50,1.176953662576e+00
6.00,1.236586181913e+00
6.50,1.296125765710e+00
7.00,1.355567868722e+00
7.50,1.414907952290e+00
8.00,1.474141484692e+00
8.50,1.533263941501e+00
9.00,1.592270805932e+00
9.50,1.651157569203e+00
10.00,1.709919730885e+00
10.50,1.768552799254e+00
11.00,1.827052291651e+00
11.50,1.885413734827e+00
12.00,1.943632665303e+00
12.50,2.001704629720e+00
13.00,2.059625185191e+00
13.50,2.117389899655e+00
14.00,2.174994352229e+00
14.50,2.232434133559e+00
15.00,2.289704846170e+00
