x,z,ue
1.984353039616e-02,3.030128510570e-02,0.000000000000e+00
1.836730591381e-02,2.922197088885e-02,4.489603150243e-02
1.694670823274e-02,2.814555965598e-02,8.764146457754e-02
1.558184339310e-02,2.707230401462e-02,1.325913067956e-01
1.427281048240e-02,2.600244963721e-02,1.798917921143e-01
1.301970167555e-02,2.493623509626e-02,2.296965058584e-01
1.182260227507e-02,2.387389170457e-02,2.821654961246e-01
1.068159075123e-02,2.281564336079e-02,3.374638666348e-01
9.596738782012e-03,2.176170640035e-02,3.957596951287e-01
8.568111292928e-03,2.071228945193e-02,4.572210882990e-01
7.595766496403e-03,1.966759329962e-02,5.220121497142e-01
6.679755930801e-03,1.862781075088e-02,5.902876047640e-01
5.820124498907e-03,1.759312651041e-02,6.621858026739e-01
5.016910505817e-03,1.656371706000e-02,7.378198100123e-01
4.270145696141e-03,1.553975054462e-02,8.172663376052e-01
3.579855290437e-03,1.452138666463e-02,9.005523237441e-01
2.946058020806e-03,1.350877657443e-02,9.876391569240e-01
2.368766165572e-03,1.250206278749e-02,1.078404790475e+00
1.847985582976e-03,1.150137908787e-02,1.172624406678e+00
1.383715743827e-03,1.050685044846e-02,1.269950844089e+00
9.759497630440e-04,9.518592955700e-03,1.369896694533e+00
6.246744300258e-04,8.536713741263e-03,1.471820741710e+00
3.298702378179e-04,7.561310920377e-03,1.574922119320e+00
9.151141100804e-05,6.592473537106e-03,1.678246010561e+00
-9.043406768004e-05,5.630281516521e-03,1.780704656095e+00
-2.160044321348e-04,4.674805623846e-03,1.881116718626e+00
-2.852441089802e-04,3.726107430609e-03,1.978266798235e+00
-2.982036951024e-04,2.784239287829e-03,2.070986040470e+00
-2.549399365997e-04,1.849244306283e-03,2.158257974278e+00
-1.555157091781e-04,9.211563438570e-04,2.239381722442e+00
0.000000000000e+00,0.000000000000e+00,2.314145356151e+00
2.107137136943e-04,-9.101171238062e-04,2.382314171477e+00
4.757258610253e-04,-1.805093214701e-03,2.442814341116e+00
7.949491745847e-04,-2.684921036441e-03,2.494433909633e+00
1.168290313833e-03,-3.549595660963e-03,2.536627332151e+00
1.595649886614e-03,-4.399114460648e-03,2.569303439445e+00
2.076922473467e-03,-5.233477102387e-03,2.592706205027e+00
2.611996654726e-03,-6.052685543442e-03,2.607342151254e+00
3.200755040395e-03,-6.856744029091e-03,2.613911256296e+00
3.843074302758e-03,-7.645659092048e-03,2.613239848866e+00
4.538825211714e-03,-8.419439553626e-03,2.606219348444e+00
5.287872672790e-03,-9.178096526632e-03,2.593754459745e+00
6.090075767798e-03,-9.921643419970e-03,2.576722789031e+00
6.945287798098e-03,-1.065009594491e-02,2.555946132364e+00
7.853356330406e-03,-1.136347212298e-02,2.532172393312e+00
8.814123245106e-03,-1.206179229551e-02,2.506066343874e+00
9.827424787000e-03,-1.274507913468e-02,2.478207180491e+00
1.089309161843e-02,-1.341335765610e-02,2.449090904899e+00
1.201094887475e-02,-1.406665523288e-02,2.419135830998e+00
1.318081622196e-02,-1.470500161111e-02,2.388689867634e+00
1.440250791659e-02,-1.532842892666e-02,2.358038575979e+00
1.567583286762e-02,-1.593697172337e-02,2.327413306925e+00
1.700059470046e-02,-1.653066697241e-02,2.296998971393e+00
1.837659182272e-02,-1.710955409282e-02,2.266941183519e+00
1.980361749200e-02,-1.767367497325e-02,2.237352650291e+00
2.128145988524e-02,-1.822307399466e-02,2.208318771368e+00
2.280990216980e-02,-1.875779805398e-02,2.179902470044e+00
2.438872257606e-02,-1.927789658878e-02,2.152148309567e+00
2.601769447145e-02,-1.978342160261e-02,2.125085965869e+00
2.769658643585e-02,-2.027442769121e-02,2.098733133652e+00
2.942516233813e-02,-2.075097206931e-02,2.073097941911e+00
3.120318141390e-02,-2.121311459798e-02,2.048180950201e+00
3.303039834423e-02,-2.166091781254e-02,2.023976790133e+00
3.490656333524e-02,-2.209444695083e-02,2.000475509016e+00
3.683142219852e-02,-2.251376998174e-02,1.977663665032e+00
3.880471643218e-02,-2.291895763404e-02,1.955525216160e+00
4.082618330247e-02,-2.331008342528e-02,1.934042238634e+00
4.289555592580e-02,-2.368722369073e-02,1.913195505008e+00
4.501256335111e-02,-2.405045761220e-02,1.892964946933e+00
4.717693064244e-02,-2.439986724679e-02,1.873330023518e+00
4.938837896158e-02,-2.473553755529e-02,1.854270012571e+00
5.164662565061e-02,-2.505755643020e-02,1.835764238982e+00
5.395138431445e-02,-2.536601472338e-02,1.817792251986e+00
5.630236490293e-02,-2.566100627300e-02,1.800333960976e+00
5.869927379268e-02,-2.594262792993e-02,1.783369737779e+00
6.114181386837e-02,-2.621097958328e-02,1.766880491867e+00
6.362968460341e-02,-2.646616418509e-02,1.750847723837e+00
6.616258213992e-02,-2.670828777406e-02,1.735253561459e+00
6.874019936787e-02,-2.693745949815e-02,1.720080781863e+00
7.136222600322e-02,-2.715379163604e-02,1.705312822723e+00
7.402834866514e-02,-2.735739961730e-02,1.690933784791e+00
7.673825095192e-02,-2.754840204115e-02,1.676928427695e+00
7.949161351581e-02,-2.772692069374e-02,1.663282160531e+00
8.228811413636e-02,-2.789308056388e-02,1.649981028523e+00
8.512742779239e-02,-2.804700985706e-02,1.637011696732e+00
8.800922673245e-02,-2.818884000768e-02,1.624361431662e+00
9.093318054363e-02,-2.831870568939e-02,1.612018081390e+00
9.389895621865e-02,-2.843674482358e-02,1.599970054751e+00
9.690621822121e-02,-2.854309858562e-02,1.588206299998e+00
9.995462854946e-02,-2.863791140913e-02,1.576716283253e+00
1.030438467975e-01,-2.872133098788e-02,1.565489967020e+00
1.061735302151e-01,-2.879350827544e-02,1.554517788942e+00
1.093433337649e-01,-2.885459748243e-02,1.543790640971e+00
1.125529101779e-01,-2.890475607121e-02,1.533299849047e+00
1.158019100067e-01,-2.894414474808e-02,1.523037153394e+00
1.190899816765e-01,-2.897292745281e-02,1.512994689458e+00
1.224167715335e-01,-2.899127134545e-02,1.503164969567e+00
1.257819238917e-01,-2.899934679038e-02,1.493540865297e+00
1.291850810765e-01,-2.899732733747e-02,1.484115590587e+00
1.326258834665e-01,-2.898538970040e-02,1.474882685583e+00
1.361039695329e-01,-2.896371373193e-02,1.465836001219e+00
1.396189758763e-01,-2.893248239623e-02,1.456969684512e+00
1.431705372607e-01,-2.889188173804e-02,1.448278164570e+00
1.467582866459e-01,-2.884210084882e-02,1.439756139275e+00
1.503818552168e-01,-2.878333182961e-02,1.431398562635e+00
1.540408724105e-01,-2.871576975083e-02,1.423200632774e+00
1.577349659406e-01,-2.863961260867e-02,1.415157780545e+00
1.614637618197e-01,-2.855506127838e-02,1.407265658729e+00
1.652268843791e-01,-2.846231946415e-02,1.399520131807e+00
1.690239562859e-01,-2.836159364572e-02,1.391917266282e+00
1.728545985581e-01,-2.825309302163e-02,1.384453321519e+00
1.767184305774e-01,-2.813702944919e-02,1.377124741091e+00
1.806150700991e-01,-2.801361738100e-02,1.369928144606e+00
1.845441332605e-01,-2.788307379821e-02,1.362860319994e+00
1.885052345866e-01,-2.774561814038e-02,1.355918216244e+00
1.924979869939e-01,-2.760147223199e-02,1.349098936559e+00
1.965220017915e-01,-2.745086020567e-02,1.342399731932e+00
2.005768886812e-01,-2.729400842205e-02,1.335817995115e+00
2.046622557546e-01,-2.713114538642e-02,1.329351254975e+00
2.087777094888e-01,-2.696250166203e-02,1.322997171230e+00
2.129228547402e-01,-2.678830978022e-02,1.316753529550e+00
2.170972947359e-01,-2.660880414739e-02,1.310618237020e+00
2.213006310649e-01,-2.642422094874e-02,1.304589317966e+00
2.255324636658e-01,-2.623479804903e-02,1.298664910137e+00
2.297923908141e-01,-2.604077489023e-02,1.292843261241e+00
2.340800091083e-01,-2.584239238621e-02,1.287122725858e+00
2.383949134534e-01,-2.563989281454e-02,1.281501762713e+00
2.427366970445e-01,-2.543351970542e-02,1.275978932348e+00
2.471049513481e-01,-2.522351772787e-02,1.270552895186e+00
2.514992660833e-01,-2.501013257322e-02,1.265222410034e+00
2.559192292013e-01,-2.479361083603e-02,1.259986333039e+00
2.603644268642e-01,-2.457419989243e-02,1.254843617147e+00
2.648344434234e-01,-2.435214777614e-02,1.249793312103e+00
2.693288613966e-01,-2.412770305209e-02,1.244834565068e+00
2.738472614451e-01,-2.390111468789e-02,1.239966621924e+00
2.783892223501e-01,-2.367263192317e-02,1.235188829362e+00
2.829543209883e-01,-2.344250413693e-02,1.230500637881e+00
2.875421323085e-01,-2.321098071300e-02,1.225901605852e+00
2.921522293064e-01,-2.297831090380e-02,1.221391404844e+00
2.967841830009e-01,-2.274474369241e-02,1.216969826458e+00
3.014375624093e-01,-2.251052765317e-02,1.212636791005e+00
3.061119345235e-01,-2.227591081094e-02,1.208392358431e+00
3.108068642860e-01,-2.204114049905e-02,1.204236742054e+00
3.155219145660e-01,-2.180646321626e-02,1.200170325841e+00
