x,z,ue
1.984353039616e-02,3.030128510570e-02,0.000000000000e+00
2.137526864701e-02,3.138324293381e-02,3.452710082020e-02
2.296240060128e-02,3.246757840993e-02,7.145742565123e-02
2.460479912237e-02,3.355401915965e-02,1.066887611749e-01
2.630232996330e-02,3.464228658135e-02,1.403278965745e-01
2.805485172861e-02,3.573209603437e-02,1.724743355652e-01
2.986221583685e-02,3.682315703154e-02,2.032206714385e-01
3.172426648392e-02,3.791517343561e-02,2.326529840375e-01
3.364084060746e-02,3.900784365963e-02,2.608512441532e-01
3.561176785211e-02,4.010086087090e-02,2.878897149549e-01
3.763687053608e-02,4.119391319855e-02,3.138373432133e-01
3.971596361895e-02,4.228668394436e-02,3.387581354374e-01
4.184885467084e-02,4.337885179673e-02,3.627115158240e-01
4.403534384305e-02,4.447009104764e-02,3.857526642263e-01
4.627522384043e-02,4.556007181239e-02,4.079328333075e-01
4.856827989532e-02,4.664846025181e-02,4.292996447328e-01
5.091428974338e-02,4.773491879706e-02,4.498973647413e-01
5.331302360138e-02,4.881910637641e-02,4.697671597674e-01
5.576424414692e-02,4.990067864424e-02,4.889473330018e-01
5.826770650042e-02,5.097928821166e-02,5.074735429118e-01
6.082315820920e-02,5.205458487888e-02,5.253790048130e-01
6.343033923396e-02,5.312621586899e-02,5.426946766080e-01
6.608898193770e-02,5.419382606287e-02,5.594494298030e-01
6.879881107709e-02,5.525705823527e-02,5.756702068818e-01
7.155954379646e-02,5.631555329162e-02,5.913821660764e-01
7.437088962450e-02,5.736895050555e-02,6.066088145185e-01
7.723255047367e-02,5.841688775678e-02,6.213721306989e-01
8.014422064247e-02,5.945900176932e-02,6.356926771009e-01
8.310558682064e-02,6.049492834969e-02,6.495897038144e-01
8.611632809730e-02,6.152430262505e-02,6.630812438759e-01
8.917611597215e-02,6.254675928092e-02,6.761842010232e-01
9.228461436979e-02,6.356193279841e-02,6.889144304980e-01
9.544147965716e-02,6.456945769080e-02,7.012868134790e-01
9.864636066421e-02,6.556896873909e-02,7.133153256783e-01
1.018988987078e-01,6.656010122661e-02,7.250131005895e-01
1.051987276191e-01,6.754249117224e-02,7.363924878348e-01
1.085454737738e-01,6.851577556223e-02,7.474651070177e-01
1.119387561262e-01,6.947959258044e-02,7.582418974559e-01
1.153781862468e-01,7.043358183664e-02,7.687331641327e-01
1.188633683624e-01,7.137738459300e-02,7.789486201789e-01
1.223938994010e-01,7.231064398829e-02,7.888974261671e-01
1.259693690386e-01,7.323300525987e-02,7.985882264774e-01
1.295893597508e-01,7.414411596313e-02,8.080291829704e-01
1.332534468672e-01,7.504362618832e-02,8.172280061815e-01
1.369611986291e-01,7.593118877462e-02,8.261919842340e-01
1.407121762509e-01,7.680645952121e-02,8.349280096483e-01
1.445059339852e-01,7.766909739532e-02,8.434426042125e-01
1.483420191902e-01,7.851876473697e-02,8.517419420611e-01
1.522199724023e-01,7.935512746038e-02,8.598318710999e-01
1.561393274099e-01,8.017785525189e-02,8.677179329002e-01
1.600996113322e-01,8.098662176424e-02,8.754053811747e-01
1.641003447007e-01,8.178110480704e-02,8.828991989408e-01
1.681410415431e-01,8.256098653346e-02,8.902041144630e-01
1.722212094720e-01,8.332595362283e-02,8.973246160615e-01
1.763403497752e-01,8.407569745921e-02,9.042649658655e-01
1.804979575100e-01,8.480991430572e-02,9.110292125810e-01
1.846935215997e-01,8.552830547460e-02,9.176212033391e-01
1.889265249340e-01,8.623057749285e-02,9.240445946818e-01
1.931964444712e-01,8.691644226341e-02,9.303028627396e-01
1.975027513440e-01,8.758561722178e-02,9.363993126459e-01
2.018449109673e-01,8.823782548797e-02,9.423370872335e-01
2.062223831492e-01,8.887279601382e-02,9.481191750469e-01
2.106346222039e-01,8.949026372546e-02,9.537484177063e-01
2.150810770677e-01,9.008996966101e-02,9.592275166486e-01
2.195611914166e-01,9.067166110343e-02,9.645590392702e-01
2.240744037865e-01,9.123509170830e-02,9.697454244887e-01
2.286201476959e-01,9.178002162687e-02,9.747889877380e-01
2.331978517694e-01,9.230621762386e-02,9.796919254048e-01
2.378069398647e-01,9.281345319048e-02,9.844563187078e-01
2.424468311999e-01,9.330150865220e-02,9.890841370184e-01
2.471169404835e-01,9.377017127159e-02,9.935772406092e-01
2.518166780456e-01,9.421923534607e-02,9.979373828135e-01
2.565454499707e-01,9.464850230050e-02,1.002166211567e+00
2.613026582314e-01,9.505778077485e-02,1.006265270290e+00
2.660877008237e-01,9.544688670663e-02,1.010235998060e+00
2.708999719037e-01,9.581564340843e-02,1.014079729001e+00
2.757388619245e-01,9.616388164034e-02,1.017797690803e+00
2.806037577749e-01,9.649143967735e-02,1.021391002241e+00
2.854940429176e-01,9.679816337182e-02,1.024860669559e+00
2.904090975298e-01,9.708390621099e-02,1.028207581513e+00
2.953482986423e-01,9.734852936960e-02,1.031432502817e+00
3.003110202808e-01,9.759190175760e-02,1.034536065670e+00
3.052966336061e-01,9.781390006311e-02,1.037518758922e+00
3.103045070555e-01,9.801440879061e-02,1.040380914321e+00
3.153340064835e-01,9.819332029442e-02,1.043122689055e+00
3.203844953030e-01,9.835053480759e-02,1.045744043567e+00
3.254553346255e-01,9.848596046614e-02,1.048244713205e+00
3.305458834026e-01,9.859951332894e-02,1.050624171695e+00
3.356554985650e-01,9.869111739306e-02,1.052881583590e+00
3.407835351627e-01,9.876070460485e-02,1.055015741484e+00
3.459293465042e-01,9.880821486675e-02,1.057024981733e+00
3.510922842941e-01,9.883359603992e-02,1.058907068965e+00
3.562716987714e-01,9.883680394283e-02,1.060659033859e+00
3.614669388453e-01,9.881780234584e-02,1.062276938300e+00
3.666773522319e-01,9.877656296186e-02,1.063755522619e+00
3.719022855878e-01,9.871306543334e-02,1.065087650771e+00
3.771410846440e-01,9.862729731541e-02,1.066263385531e+00
3.823930943383e-01,9.851925405552e-02,1.067268326873e+00
3.876576589457e-01,9.838893896962e-02,1.068080316889e+00
3.929341222084e-01,9.823636321488e-02,1.068661154566e+00
3.982218274637e-01,9.806154575915e-02,1.068958825270e+00
4.034651255633e-01,9.786620686049e-02,1.068725521846e+00
4.086908900813e-01,9.765595308474e-02,1.068318041856e+00
4.139263835599e-01,9.743130077559e-02,1.068263202526e+00
4.191709979587e-01,9.719233818534e-02,1.068422475494e+00
4.244241247389e-01,9.693915752626e-02,1.068679130813e+00
4.296851549483e-01,9.667185490734e-02,1.068989868442e+00
4.349534793046e-01,9.639053027057e-02,1.069331113563e+00
4.402284882792e-01,9.609528732680e-02,1.069688121008e+00
4.455095721795e-01,9.578623349135e-02,1.070050914658e+00
4.507961212306e-01,9.546347981942e-02,1.070412391851e+00
4.560875256565e-01,9.512714094143e-02,1.070767313053e+00
4.613831757602e-01,9.477733499830e-02,1.071111712623e+00
