profil,vitesse_ms,angle_deg,pression_PSI
NACA-0012,12,-5,-0.010614513
NACA-0012,12,-4.5,-0.010855869
NACA-0012,12,-4,-0.011097225
NACA-0012,12,-3.5,-0.011338581
NACA-0012,12,-3,-0.011579937
NACA-0012,12,-2.5,-0.011821293
NACA-0012,12,-2,-0.012062649
NACA-0012,12,-1.5,-0.012304005
NACA-0012,12,-1,-0.012545361
NACA-0012,12,-0.5,-0.012786717
NACA-0012,12,0,-0.013028073
NACA-0012,12,0.5,-0.013415328
NACA-0012,12,1,-0.013802583
NACA-0012,12,1.5,-0.014189839
NACA-0012,12,2,-0.014577094
NACA-0012,12,2.5,-0.014964349
NACA-0012,12,3,-0.015351604
NACA-0012,12,3.5,-0.015738859
NACA-0012,12,4,-0.016126115
NACA-0012,12,4.5,-0.01651337
NACA-0012,12,5,-0.016900625
NACA-0012,12,5.5,-0.017346851
NACA-0012,12,6,-0.017793077
NACA-0012,12,6.5,-0.018239303
NACA-0012,12,7,-0.018685529
NACA-0012,12,7.5,-0.019131755
NACA-0012,12,8,-0.019577981
NACA-0012,12,8.5,-0.020024207
NACA-0012,12,9,-0.020470433
NACA-0012,12,9.5,-0.020916659
NACA-0012,12,10,-0.021362885
NACA-0012,12,10.5,-0.019306449
NACA-0012,12,11,-0.017250013
NACA-0012,12,11.5,-0.01755048
NACA-0012,12,12,-0.017690646
NACA-0012,12,12.5,-0.017605648
NACA-0012,12,13,-0.017402507
NACA-0012,12,13.5,-0.017147638
NACA-0012,12,14,-0.016877213
NACA-0012,12,14.5,-0.016610177
NACA-0012,12,15,-0.016355897
