profil,vitesse_ms,angle_deg,pression_PSI
NACA-0012,5.9,-5,-0.0038116125
NACA-0012,5.9,0,-0.004348825
NACA-0012,5.9,5,-0.0052285179
NACA-0012,5.9,10,-0.0061310625
