profil,vitesse_ms,angle_deg,CL,CD,pression_PSI
NACA-0012,5.2,-4.5,0.052343187,-0.0036000744,
NACA-0012,5.2,-4,0.057316974,-0.0036474438,
NACA-0012,5.2,-3.5,0.062290761,-0.0036948132,
NACA-0012,5.2,-3,0.067264548,-0.0037421826,
NACA-0012,5.2,-2.5,0.072238335,-0.003789552,
NACA-0012,5.2,-2,0.077212122,-0.0038369214,
NACA-0012,5.2,-1.5,0.082185909,-0.0038842908,
NACA-0012,5.2,-1,0.087159696,-0.0039316602,
NACA-0012,5.2,-0.5,0.092133483,-0.0039790296,
NACA-0012,5.2,0,0.09710727,-0.004026399,
NACA-0012,5.2,0.5,0.10208106,-0.0040737684,
NACA-0012,5.2,1,0.10705484,-0.0041211378,
NACA-0012,5.2,1.5,0.11202863,-0.0041685072,
NACA-0012,5.2,2,0.11700242,-0.0042158766,
NACA-0012,5.2,2.5,0.1219762,-0.004263246,
NACA-0012,5.2,3,0.12694999,-0.0043106154,
NACA-0012,5.2,3.5,0.13192378,-0.0043579848,
NACA-0012,5.2,4,0.13689757,-0.0044053542,
NACA-0012,5.2,4.5,0.14187135,-0.0044527236,
NACA-0012,5.2,5,0.14684514,-0.004500093,
NACA-0012,5.2,5.5,0.15181893,-0.0045474624,
NACA-0012,5.2,6,0.15679271,-0.0045948318,
NACA-0012,5.2,6.5,0.1617665,-0.0046422012,
NACA-0012,5.2,7,0.16674029,-0.0046895706,
NACA-0012,5.2,7.5,0.17171407,-0.00473694,
NACA-0012,5.2,8,0.16653305,-0.005921175,
NACA-0012,5.2,8.5,0.16135202,-0.00710541,
NACA-0012,5.2,9,0.15617099,-0.008289645,
NACA-0012,5.2,9.5,0.15098996,-0.00947388,
NACA-0012,5.2,10,0.14580893,-0.010658115,
NACA-0012,5.2,10.5,0.14062791,-0.01184235,
NACA-0012,5.2,11,0.13544688,-0.013026585,
NACA-0012,5.2,11.5,0.13026585,-0.01421082,
NACA-0012,5.2,12,0.1421082,-0.014506879,
NACA-0012,5.2,12.5,0.15395055,-0.014802937,
NACA-0012,5.2,13,0.15395055,-0.015098996,
NACA-0012,5.2,13.5,0.15395055,-0.015395055,
NACA-0012,5.9,-20,,,-0.0037889875
NACA-0012,5.9,-19.5,,,-0.003788045
NACA-0012,5.9,-19,,,-0.0037871025
NACA-0012,5.9,-18.5,,,-0.00378616
NACA-0012,5.9,-18,,,-0.0037852175
NACA-0012,5.9,-17.5,,,-0.003784275
NACA-0012,5.9,-17,,,-0.0037833325
NACA-0012,5.9,-16.5,,,-0.00378239
NACA-0012,5.9,-16,,,-0.0037814475
NACA-0012,5.9,-15.5,,,-0.003780505
NACA-0012,5.9,-15,,,-0.0037795625
NACA-0012,5.9,-14.5,,,-0.00377862
NACA-0012,5.9,-14,,,-0.0037776775
NACA-0012,5.9,-13.5,,,-0.003776735
NACA-0012,5.9,-13,,,-0.0037757925
NACA-0012,5.9,-12.5,,,-0.00377485
NACA-0012,5.9,-12,,,-0.0037739075
NACA-0012,5.9,-11.5,,,-0.003772965
NACA-0012,5.9,-11,,,-0.0037720225
NACA-0012,5.9,-10.5,,,-0.00377108
NACA-0012,5.9,-10,,,-0.0037701375
NACA-0012,5.9,-9.5,,,-0.003774285
NACA-0012,5.9,-9,,,-0.0037784325
NACA-0012,5.9,-8.5,,,-0.00378258
NACA-0012,5.9,-8,,,-0.0037867275
NACA-0012,5.9,-7.5,,,-0.003790875
NACA-0012,5.9,-7,,,-0.0037950225
NACA-0012,5.9,-6.5,,,-0.00379917
NACA-0012,5.9,-6,,,-0.0038033175
NACA-0012,5.9,-5.5,,,-0.003807465
NACA-0012,5.9,-5,,,-0.0038116125
NACA-0012,5.9,-4.5,,,-0.0038653337
NACA-0012,5.9,-4,,,-0.003919055
NACA-0012,5.9,-3.5,,,-0.0039727762
NACA-0012,5.9,-3,,,-0.0040264975
NACA-0012,5.9,-2.5,,,-0.0040802187
NACA-0012,5.9,-2,,,-0.00413394
NACA-0012,5.9,-1.5,,,-0.0041876612
NACA-0012,5.9,-1,,,-0.0042413825
NACA-0012,5.9,-0.5,,,-0.0042951037
NACA-0012,5.9,0,0.087390487,-0.0022997497,-0.004348825
NACA-0012,5.9,0.5,0.089460262,-0.0022997497,-0.0044367943
NACA-0012,5.9,1,0.091530037,-0.0022997497,-0.0045247636
NACA-0012,5.9,1.5,0.093599811,-0.0022997497,-0.0046127329
NACA-0012,5.9,2,0.095669586,-0.0022997497,-0.0047007021
NACA-0012,5.9,2.5,0.097739361,-0.0022997497,-0.0047886714
NACA-0012,5.9,3,0.099809135,-0.0022997497,-0.0048766407
NACA-0012,5.9,3.5,0.10187891,-0.0022997497,-0.00496461
NACA-0012,5.9,4,0.10394868,-0.0022997497,-0.0050525793
NACA-0012,5.9,4.5,0.10601846,-0.0022997497,-0.0051405486
NACA-0012,5.9,5,0.10808823,-0.0022997497,-0.0052285179
NACA-0012,5.9,5.5,0.10785826,-0.0034496245,-0.0053187723
NACA-0012,5.9,6,0.10762828,-0.0045994993,-0.0054090268
NACA-0012,5.9,6.5,0.10739831,-0.0057493742,-0.0054992813
NACA-0012,5.9,7,0.10716833,-0.006899249,-0.0055895357
NACA-0012,5.9,7.5,0.10693836,-0.0080491238,-0.0056797902
NACA-0012,5.9,8,0.10670838,-0.0091989986,-0.0057700446
NACA-0012,5.9,8.5,0.10647841,-0.010348873,-0.0058602991
NACA-0012,5.9,9,0.10624843,-0.011498748,-0.0059505536
NACA-0012,5.9,9.5,0.10601846,-0.012648623,-0.006040808
NACA-0012,5.9,10,0.10578848,-0.013798498,-0.0061310625
NACA-0012,5.9,10.5,0.10670838,-0.01432744,
NACA-0012,5.9,11,0.10762828,-0.014856383,
NACA-0012,5.9,11.5,0.10854818,-0.015385325,
NACA-0012,5.9,12,0.10946808,-0.015914268,
NACA-0012,5.9,12.5,0.11038798,-0.01644321,
NACA-0012,5.9,13,0.11130788,-0.016972153,
NACA-0012,5.9,13.5,0.11222778,-0.017501095,
NACA-0012,5.9,14,0.11314768,-0.018030037,
NACA-0012,5.9,14.5,0.11406758,-0.01855898,
NACA-0012,5.9,15,0.11498748,-0.019087922,
NACA-0012,5.9,15.5,,,
NACA-0012,5.9,16,,,
NACA-0012,5.9,16.5,,,
NACA-0012,5.9,17,,,
NACA-0012,5.9,17.5,,,
NACA-0012,5.9,18,,,
NACA-0012,5.9,18.5,,,
NACA-0012,5.9,19,,,
NACA-0012,5.9,19.5,,,
NACA-0012,5.9,20,,,-0.0056852708
NACA-0012,8.2,-5,0,-0.003571726,
NACA-0012,8.2,-4.5,0.0044765633,-0.003571726,
NACA-0012,8.2,-4,0.0089531265,-0.003571726,
NACA-0012,8.2,-3.5,0.01342969,-0.003571726,
NACA-0012,8.2,-3,0.017906253,-0.003571726,
NACA-0012,8.2,-2.5,0.022382816,-0.003571726,
NACA-0012,8.2,-2,0.02685938,-0.003571726,
NACA-0012,8.2,-1.5,0.031335943,-0.003571726,
NACA-0012,8.2,-1,0.035812506,-0.003571726,
NACA-0012,8.2,-0.5,0.040289069,-0.003571726,
NACA-0012,8.2,0,0.044765633,-0.003571726,
NACA-0012,8.2,0.5,0.049242196,-0.003571726,
NACA-0012,8.2,1,0.053718759,-0.003571726,
NACA-0012,8.2,1.5,0.058195323,-0.003571726,
NACA-0012,8.2,2,0.062671886,-0.003571726,
NACA-0012,8.2,2.5,0.067148449,-0.003571726,
NACA-0012,8.2,3,0.071625012,-0.003571726,
NACA-0012,8.2,3.5,0.076101576,-0.003571726,
NACA-0012,8.2,4,0.080578139,-0.003571726,
NACA-0012,8.2,4.5,0.085054702,-0.003571726,
NACA-0012,8.2,5,0.089531265,-0.003571726,
NACA-0012,8.2,5.5,0.094007829,-0.003571726,
NACA-0012,8.2,6,0.098484392,-0.003571726,
NACA-0012,8.2,6.5,0.10296096,-0.003571726,
NACA-0012,8.2,7,0.10743752,-0.003571726,
NACA-0012,8.2,7.5,0.11191408,-0.003571726,
NACA-0012,8.2,8,0.10804471,-0.0049408877,
NACA-0012,8.2,8.5,0.10417534,-0.0063100493,
NACA-0012,8.2,9,0.10030597,-0.0076792109,
NACA-0012,8.2,9.5,0.096436602,-0.0090483726,
NACA-0012,8.2,10,0.092567233,-0.010417534,
NACA-0012,8.2,10.5,0.088697863,-0.011786696,
NACA-0012,8.2,11,0.084828493,-0.013155857,
NACA-0012,8.2,11.5,0.080959123,-0.014525019,
NACA-0012,8.2,12,0.090483726,-0.015239364,
NACA-0012,8.2,12.5,0.10000833,-0.01595371,
NACA-0012,8.2,13,0.098817753,-0.016191825,
NACA-0012,8.2,13.5,0.097627178,-0.01642994,
NACA-0012,8.9,-20,,,-0.0067205
NACA-0012,8.9,-19.5,,,-0.0067176688
NACA-0012,8.9,-19,,,-0.0067148375
NACA-0012,8.9,-18.5,,,-0.0067120063
